,comments,likes
0,오랜친구같은 클래식카는 실용성만으로는 매기기 힘든 멋이 있는듯수리문제만 빼면 타고다니기 잼있을것같아요.,3
1,전 지금 slc200 타지만   예전부터 G2X 디자인이 보통 디자인은 아니다 라고 생각했는데  아주 멋지네요 차가,4
2,"트렁크를 열 때마다 탑을 고정하는 핀이 열리는 구조, 탑을 씌우는 것보다 탑을 걷어내는 게 더 간편한 구조 등 기본적으로 탑을 걷어내고 타도록 만들어졌다는 느낌이네요. 우리나라에 많이 돌아다니는 다른 수동탑 로드스터들과 비교해보자면 절대로 (소프트탑 후크 때문에 개조 등을 거쳐도 불가능할듯) 차에 탑승한 상태로 탑을 씌우는 게 불가능한 특성 상 우리나라에선 조금 곤란한 상황도 제법 생길 듯...",1
3,이 차량 이름이 참 멋지다고 생각합니다 Go to Extreme G2X 좋은 리뷰 잘 보았습니다,6
4,부품 수급이랑 실내 디자인만 좀더 완벽했다면 고민도 안하고 구매했을듯,6
5,엔진 재원이 벨로스터n과 비슷하군요십수년전 한번 본적이 있는데 실물이 정말 멋있는 차더이다오래오래 타시오,1
6,"G2X 어떤 차인지 항상 궁금했는데, 좋은 영상 만들어 주셔서 감사합니다!",18
7,아~~그립다 g2x ㅠㅠㅠ정말재밌게탔는데,1
8,차주 지인이자 G2X 타고있는 유튜버입니다 영상보고 반가움에 덧글달아봅니다ㅎㅎ 영상 잘 보았습니다^^,6
9,작은 캐리어 두개정도 들어갈까요,1
10,Was the G2X only offered with an automatic transmission in Korea?,1
11,트렁크가 탑열고 신발이나 소소하게는 들어가나요? 헬멧 하나정도는 들어가는지요?,3
12,시보레 칭찬할만하다현기는 아직도 컨버터블이 없음,5
13,오픈 하고 닫고는 자동이 아니라 수동인건가요?,1
14,ㅋㅋㅋㅋ 아니 왜케 삐걱거려요 ㅋㅋ 사고싶은차중에 하난데.....ㅋㅋㅋ;; 아 고민 ㅋㅋ,3
15,글구 빌슈타인이 아니라 빌스테인이에요. 아무리 외래어라도 좀 정확하게 씁시다..,2
16,"""차 저한테 팔으셨던 분""""차 저한테 팔으셨던 분""""차 저한테 팔으셨던 분""""차 저한테 팔으셨던 분""""차 저한테 팔으셨던 분""",2
17,망한이유가있네,1
18,잡음때메 엄청 시끄럽내요,1
19,놈팽이,1
20,차좀 깨끗하게타라.. 영상찍을때만이라도 좀 치우던가. 평소에 차관리 어떻게하는지 눈에보인다..,3
21,티비에 나올때 우와~ 차멋지다. 생각했는데 저차볼때마다 엘란차가 생각이 엘란도 아는 사람만  아는차 그때저차가 치깂이 4천만때 기억하네요,1
22,사고싶네,1
23,탑열때 창문 내리지않아도 간섭없나요??,1
24,️저러고 2010년에 제네시스 쿠페 나와서 ㅋ 밀리죠 g2x가 않타까운 현실 ㅎ 오픈카로는 좋은데 수동이라는게,1
25,탐나네요,2
26,과장님 차량 하부보여주실때 소리가안들립니다,1
27,이차는 얼마나 하나요 지금시세로,1
28,,1
29,이차 해안 도로에서 오픈해서 멋스럽게 달리는거 본적 있는데...어찌나 멋있던지...오픈카에 대한 로망을 갖게 해준 차...,2
30,정보) 새턴 망했을 때 오펠이 PSA 그룹으로 넘어간 것은 아니다. 2017년만 해도 오펠은 GM 소속이었고 쉐보레 크루즈 2세대를 주도적으로 개발한 전적이 있다,4
31,G2X 제로백 5.7초 당시 포르쉐 박스터와 같았었던로 기억합니다. 엘란이랑 비교할 차가 아니었죠 ㅎ,20
32,대우는 보통 쉐보레 차 가져오지 않았었나 하긴 GM차 전부 가져오는게 가능했겠구나,1
33,드디어 G2X편이 나왔네요 ㅎ 잘 보겠습니다!,3
34,진짜 해주셨네요! 감사합니다!!,6
35,이번영상도 정말 재밌네요!!,3
36,"2018년도 조수석 에어백 리콜 안내서에 보면 대상 차량 수가 184대로 나와 있는데국내 판매량이 109대 밖에 안되는가요?왜 다른지 혹시 아시면, 알려주시면 좋겠습니다.109대가 판매 되었다고 하기엔 남아있는 차량 대수가 좀 안맞는거 같아서요...뭐 어차피 현재 국내에 있는 차량 대수가 직수입차량을 포함해도 50대도 안될 거라는게 많은 오너들의 추측이긴 합니다만.....참고로 정확한 리콜 시점은 아래와 같습니다.아마도  국내 아직 남아있는 대부분의 차량은 리콜 두 가지 모두 받았을 겁니다.-------------------------------------------------------------------------점화 스위치 - 2014. 8.14 ~ 2016.2.13 (현재 종료)조수석 에어백 센서- 2018. 6.15 ~ 현재-------------------------------------------------------------------------",3
37,이게 동시대 오펠에서 나온 스포츠카인 '스피드스타'와 생긴게 상당히 똑같습니다.,3
38,어떤놈이 훔쳐서 개박살낸 차.......,40
39,다음 100초는 코닉세그 레제라에 대해 해주시면 안될까요? 제 드림카가 레제라여서요. 해주시면 감사드리겠습니다!!,4
40,다음 '100초리뷰'는 묻고 기아의 텔루라이드나 쌍용의 액티언으로 갑시다! 제발요.ㅠㅠ,7
41,우리지역 쉐보레매장 사장님차.. 대우로고는 떼버리시고 오펠마크 붙이셨던데,2
42,미션은 gm의 5l40e..,1
43,우리나라에 출시했는데우리나라에서 보기 힘들었던 차,4
44,우리나라에서 별로못팔린 비운의차,3
45,조수석 에어백 승객감지 센서랑 에어백미전개랑 같은 내용입니다 같은내용인데 별개인걸로 나오네요,1
46,미친 ㅋㅋㅋ 8년뒤에 인정하고 리콜하면 누가 가냐고 ㅋㅋㅋㅋㅋ,5
47,다음 100초리뷰는 티코 해주세요,2
48,현대 티뷰론이나 스쿠프 갑시다,4
49,르망 프라이드도 해주세요,3
50,G70해주십쇼..,1
51,다음은 쌍용 로디우스가자,3
52,0:52 우리 동네에서 발견됐지만 술취한 병신이 박아버린 전설의 차종(참고로 홍천),3
53,와우,1
54,뚜껑이 열려 내 국산차,3
55,베르나 해주세요,1
56,드라이버 샌프란시스코에서 나와서 아는차.,3
57,외제작국판차,1
58,어릴 때 저 차 보고는 꼭 저 차 타야지 이러면서 봤는데흑,4
59,저도가지고싶어요.,1
60,외제국산차,4
61,중고1000만원대차량 (절레절레),4
62,미쯔오카 가류 해주세요. 제발요.,5
63,G2x는 포르쉐 박스터를 닮았다고 생각하네요(제 주관적 생각입니다),5
64,https://youtu.be/l1hQCbaIUCohttps://www.bobaedream.co.kr/view?code=freeb&No=1906980&bm=1몇달전에 홍천에서  무면허+음주+도난+사고  충격을 준 사건의 그 차네요 ㅋㅋㅋ,2
65,박지카....,4
66,쉐보레 마크만 변경해도 멋나네요!!!   비운의 스포츠카!!,1
67,사고싶다,1
68,코너좀시원하게돌아봐라... 슬립나는지 봐야아는데,1
