,comments,likes
0,09:18 돌아온 한상기트렁크 12:51 13:14 17:30 한상기코너 14:04 가속비교 20:48 순간연비,23
1,말리부터보 탔었었지만 차는 정말 좋아요당시 모델들보다 승차감도 더 좋고 타던 시기에는 옵션이나 이런것도 부족하지 않았구요.. 쉐보레에서 정말 잘 만든 차,6
2,조금 타봤습니다. 다른 건 다 별로였는데 주행감각이랑 공간감 좋습니다. 운전하면서 안정감있어서 한계가 높은 느낌. 쉐보레쉐보레하는 분들 이해갑니다.,98
3,"말리부 2.0t 차주입니다. 중고로 생각하시는 분께 장단점 말씀드립니다.#장점 : (1) 잘나갑니다. 초기 2.0터보는 고급유 에 조금더 민감한 편입니다. 17년식 중후반부터 고급유 일반유 차이에 대한 민감도가 더 낮아지도록 ecu업그레이드 되었습니다. 타이어 좋은 것 껴놓으면 0 -100km 계기판 타이머 기준 5초후반에서 6초 초반, 200km까지는 22~23초도 나옵니다. 캐딜락 엔진이라 어디가서 출력으로 크게 뒤쳐지는 느낌은 없습니다. 고급유기준으로 3500cc 대형새단, k7 3.3 가속도랑 200km까지는 비슷하게 나가는것 같습니다.(2) 튼튼합니다.. 이건.. 커뮤니티 차주들 실제 사고경험.. 개인적 경험에 의한 것입니다유.... 지엠차가 예전부터 튼튼하기도 했고..사고시 캐빈룸 형태가 잘 보존되는거 같습니다. 구세대 에어백은..음.. 그래도 안전운전이 답이것쥬 ?? ㅎㅎ (3) 핸들링이 동시대 차량들에 비해 저속에서는 살포시 가벼우면서도 속도 감응에 따라 적절히 무거워지고..핸들이 운전자의 의도를 굉장히 잘 파악합니다.  초기악셀개도가 많이될 때만 단단해지지도 않고 일정속도나 악셀개도량 등을 통해 종합적으로 부하 판단하는것 같습니다. 노면접지가 불안해지고 고속에서는 중심에 나사가 조금 풀린것 같은 느낌을주는현대 패밀리세단 계열의 mdps 와는 매우 다릅니다. (요즘은 현대 패밀리세단은 고속에서도 나름 굳..)(4) 고속주행 안정감이 좋습니다. 서스가 부드러운편인데(초기형은 스프링 범퍼 고무가 조금 단단해서 범프를 만나면 조금 퉁퉁 단단하게 느껴질수 있습니다) 그럼에도 굉장히 노면 접지를 잘잡아즈고 거동을 잘 유지히는 편입니다. 180km 언저리에서도 쇼바가 바닥에 깔아주는 느낌이 좀 납니다. 쇼바의 성질자체는 부드럽지만 무게중심이  패밀리세단 치고는 붕뜨는 느낌없이 낮아지는 느낌입니다.(참고로 비슷하긴하지만 더뉴 보다 올뉴가 서스가 좀더 단단해서 안정감을 좀 더 줍니다...느낌상..)#단점(1) 미션... 할말 많습니다. 그런데 나름 어떤 상황에서는 좋은점도 있습니다. 고속도로에서 발을 대고 있으면 변속이 느긋하게 되면서 락업클러치가 항속을 굉장히 효율적으로 돕도록 걸립니다. 그래서 발만 올려다놓고 있어도 속도가 올라갑니다. 토크가 5단 6단이 2000~2500rpm언저리에 머무르며 항속주행해도 트윈스크럴 터보에 의해 생성되는 토크밴드가 꾸준히 유지되어 속도도 쉽게 유지됩니다.근데 이렇게 느긋하게 가다가 빠른 재가속.. 급가속시 문제가 됩니다. 이런 느긋한 고속도로 정속주행시 미션답력이 둔해져있는 상태가 됩니다. 다시 급재가속을 하려면 미션을 매우 꽉밟아줘서 깨워줘야합니다. 그럴때 운전자는 미션 반응이 왜그래 ? 거지같네 등 욕합니다. 스포티한 주행하려면 첨부터 냅다 밟아서 알피엠을 끌어올려야합니다. 할배주행 > 스포티 주행을 하려면 미션 반응이 둔해져서 전환이 잘 안됩니다. 실제 도로에서는 할배주행과 스포티 주행을 병행할수도 있는데 말이죠 ㅎㅎ 스포츠모드라도 있어주면 참 고마울거 같아요... 수동모드도 토글 스위치이고.. 그래도 나름적응 합니다.. 미션온도가 좀 높게 올라갑니다. 2.0터보는 GM Hydra-matic (6T50) 제네레이션 3 미션인데...제네레이션2 시절보다 개선이 되었다고는 하지만 더운 여름날 지쳐서 높은 산길 주행 많이하면 지치는게 딱 느껴집니다. 온도가 많이 올라가는 편이지요.. 그래서 미션오일 쿨러 다는분 꽤 있습니다... 한국 GM의 최대 실수는 6단 hydra matic 미션을 넣었다는 것입니다.. 뷰익의 베라노 터보만 동일한 미션을 장착해서.. 미션 레퍼런스가 많이 없습니다. (2) 시내 연비가 안좋습니다 (2.0기준)이건 철저히 미션의 문제라고 확신합니다. 항속주행에 능한 미국 미션이라 고속도로 연비는 매우 잘나옵니다. 최대 20km까지 찍어봤습니더.(3)실내 디자인 : 머랄까 좀 비주얼적으로 싼티나게 만들었습니다. 소재 만져보면 그리 저품질도 아닌데 모양이며 무늬며.. 플라스틱 형상.. 기어봉 디자인 등이.. 아무래도 디자이너가 퇴사직전 설계한거 같습니다.(4) 그릴 디자인 : 미국 말리부랑 그릴이 다릅니다. 중국말리부가 차라리 그릴은 더멋있습니다. 그래서 미국산 중국산 그릴로 튜닝하고 번호판을 내리는 사람들이 대다수입니다. 액티브그릴 셔터라고 연비랑 공기저항을 위해 일정속도 이상에서 그릴망 틈을 일부 닫아주는 2개파츠 중 우리나라에서는 한개 빠져있습니다 암튼 그건 둘째치고 그릴이 살짝 비호감일 수도 있습니다.(4) 그 외 고질병 : 초기 올뉴일수록 간혹가다가 엔진 프론트케이스 누유가 있습니다. 초기 올뉴(17년 중반 이전)모델의 주차센서소음이 귀를 겁나 때릴정도로 큽니다. 라디오 모듈 업데이트로 어느정도 극복가능합니다. 올뉴말리부 리어너클암이 힘줄끊어지는 소리나듯 출발시 텅텅 소리가 납니다. 부품구입후 사설에서 고치면 총 양쪽합쳐 20만원정도 합니다. 일반유 사용시 카본이 스로틀쪽에 좀 껴서 엔진경고등이 몇만킬로마다 뜰수도있습니다. 그 외 조립품질마감은... 미국차..아시죠 ??사실거면 더뉴 말리부 2.0을 추천드립니다... 미션 로직 몇몇부분이 조금 개선되어있고 페달 응답성 초반토크가 좀더 실용구간에 세팅되어있습니다...고급유 일반유에도 좀더 덜 민감하고요..",41
4,말리부2.0에 끌려서 하루 타봤는데힘 좋고 주행시 부드럽고 차체 문짝 두껍고 좋더군요엑셀 브레이크 강도도 편하고...핸들은 가벼운 느낌실내는 그닥 많이 보는 편이 아니라 깔끔하고 좋더군요 고속주행시 소음과 As와 유지비에 대한 단점이 좀 걸려서 망설이는 중입니당 공기청정기능도 아쉽...한국에선 필요한데 말이죠,3
5,"소나타, 말리브 2대 가지고 있는데... 개인적으로 말리브가 승차감 기대이상으로 정말 좋습니다특히 장거리 주행시 필요감이 없고 코너링도 정말 좋습니다",51
6,"이 차를 스포티 세단으로 생각하면 좀 아쉽지만, 2000cc 미만에서 동력성능 좋은 컴포트 세단으로 보면 이만한 차가 없음. 승차감 좋고, 토그밴드(2000~5000rpm) 에서 밟은만큼 쭉쭉 빼주고, 승차감 나쁘지 않으면서 고속주행시 안정감도 좋음.터보차의 특성을 이해하고 타면 옛날 자흡 6기통  감성도 살짝 느낄 수 있는 차. 완벽한건 아닌데, 충분히 만족감 느끼면서 탈수 있는 차. 다만, 지금 사기엔 선택지가 많은 것은 사실",59
7,현재는 휠베가 짧지만 출시된 시점에선 젤 길었는데.. 타사들이 풀체인지 하며 말리부보다 길게 바꿨죠.공조장치는 여전히 물리버튼이 훨씬 편한듯,2
8,차분하고 객관적인 설명..역시 한 기자님입니다~~ 말리부는 역시 기본기에만 충실한 차네요. 물론 저에겐 상당한 매력점입니다.,15
9,1.35T를 1100Km 렌트해 타봤는데. 전기형 모델에 비해 아쉬운점이 많습니다. 하이드롤릭 라이드 부싱이 삭제되었는지  잡아돌려보면 좀더 기우뚱거리는게 심해졌습니다. 전기형 쓰던 시절 급격한 코너링 전개시 오히려 일시적인 롤현상은 있지만 그후 오히려 가라앉아서 잘 버텨주려고 하는부분이 있었는데 후기형 모델에는 그게  빠져서 좀 아쉽더군요. 전기형이나 후기형이나 고속섹션에서 요철구간만나면 순두부처럼 흐느적대는부분은 동일했고요. 2.0T는 어떤지는 모르겠지만 1.35T는 그랬습니다. 그럼에도 연비 자체에 대한 만족감은 좋았습니다. 디젤 수준의 연비가 나왔었어요. 500Km 주행 기준 23Km/L까지 뽑아줬었으니까요.,3
10,17년도 올뉴 말리부 1.5터보 3년-4년 정도 총 6-7만키로 정도 운행했었습니다. 지금은 계륵 같은 존재이지만 동급 승용차중에서 승차감은 정말 좋았습니다하체 세팅이 특히 좋았던 것 같습니다.,5
11,가속력도 좋아지고 승차감도 좋아졌지만 현재 동급대비 차가 좀 올드해보이는.. 리뷰보는맛이 있어요 감사합니다!,57
12,차량 자체는 좋은거같음 디자인이나 기본기나 지금도 검정샏 다니는거 보면 이뻐서 쳐다보게됨 근데 지금 나오는 사양 맞는지 어이없는 편의장비와진짜 구닥다리같은 실내는 길에서 보고 관심있어서 대리점 갔다가 실내보고 도망 칠거 같음 ..,6
13,1.35T에 체인cvt조합은 안성맞춤입니다만2.0T에는 보령젠3말고 9단자동미션이 맞다고 봅니다.올초 사서 11개월째 말리부타면서느끼는게 스탑앤고 기능을 싫어하는 운전자를 위해 on/off버튼이 있었으면 좋겠더군요.없으니깐 신호정차시 개인적으로 마니 짜증...,1
14,말리부의 외관에 국산차 수준의 내부인테리어 편의성이면 딱 내가 원하는 차,16
15,저만 인테리어에서 탄식을 한게 아니네요.. ㅋㅋㅋ실내 디자인 모습이 예전 모델과 별 차이가 없다는게 충격이였네요.유익한 영상 올려주셔서 감사합니다 글고 바뀐 프로필 사진 멋지십니다~ ㅎㅎ,1
16,말리부 2.0 오너지만실내 정말 투박해요운전시에 안정감은 동급 최고입니다,5
17,"상기행님은 다른 자동차 기자들보다 리뷰에 신뢰가 간다... 몇번을 빨았는지 후줄근한 오렌지 티셔츠 입고 뉘르부르크링 8분대 끊는 동영상 보면 레이서 라이센스 없는 일반인 기준으로 운전실력이 어느정도인지 알 수 있는만큼 자동차 리뷰어로서 충분한 자격을 갖췄다.카레이서, 쇠교수, 김드라, 박혜연 이분들 제외하고.. 운전실력이 어떻게 되는지도 모르는데 와인딩에서 무작정 감아제끼고 거동이 어떻다라고 하는게 맞는건가? 수동 운전은 할 줄 아는건지...기자라고 해놓고 수동운전도 할 줄 모르면 기본적으로 운전을 할 줄 아는게 맞나 싶다... 그냥 핸들만 돌릴 줄 아는거지 뭐.",1
18,와이프차로 2년째 타는데 솔직히 화려함은 없지만 제 스팅어2.0보다 훨씬 편합니다. 스팅어는 이제 팔아버리고 320i갔지만. 지금도 여전히 말리부 좋습니다.,11
19,고양시 덕양구의 자랑!! 한상기 기자님 시승기 잘보고 갑니다 저도 17년식 올뉴 말리부 2.0 페밀리카로 사서 타지만 잘나가고 잘서고 참 좋은데.... 옵션이 참 아쉬운 차량입니다...,14
20,"말리부 차 자체는 분명 임팔라에 비해서도 좋은차량 인데, 많이는 안팔려서 알려지지 않지만, 수출모델이 있긴 합니다.",5
21,기어봉 앞쪽 수납공간이 너무 작은 거랑 매뉴얼모드에서 쉬프팅이 기어봉 옆쪽 버튼으로 이뤄지는데 너무 큰 충격을 받았습니다. 운전석 암레스트 수납공간도 아반떼랑 비교 가능한 크기인 것이 두번째 충격이네요. 계기판 자체는 현기 차량보다 제 취향인듯 합니다.,3
22,말리부 구매예정이어서 봤는데딱  와닿는  설명하시네요,16
23,최근에 말리부 1.35나 2.0 풀옵으로 사려고 고민중에 있습니다. 이유는 말리부가 튼튼하다는 평이 있어서 그런데 이게 객관적인 근거가 있는 건지 궁금하네요. 단적으로 요즘 소나타 DN8 안정성이 크게 개선되었다고 하더라구요. 말리부의 안정성이 소나타보다 우수할지 궁금하네요.,3
24,미국 차가 실내 싼마이 느낌은 강하지만 전 옵션 그닥 안봐서  고속 안전성과 브레이크에서 어느정도  용서가 됩니다. 고속주행은 확실히 현기보다는 단단 하고 코너링 훌륭  2년만 말리부 더 타고 캐달락으로 기변 예정입니다,10
25,요즘 보기 힘들었던 말리부 시승기라니 흥미롭네요 잘보고 가겠습니다.,2
26,외관 디자인은 정말 제 취향인데 내부가 좀ㅜㅜ 계기판은 구리지만 시인성은 좋아보이네요. 사서타긴 그렇고 멀리 여행갈때 기회되면 함 빌려보고 싶어요ㅋㅋ,13
27,"상세한 리뷰 감사드립니다. 오토홀드 빠진점이 너무 아쉽네요..헌데, 같은 엔진에 시속 200 가속이 4초 빨라진 이유가 뭘까요? 기어비 조정하면 빨라지는 건가요?",3
28,"2021년 식이라도 실내 빼는 수준은 여전히 그대로네요. 그냥 주행질감 좋다는거, 그거 하나빼면 뭐 굳이 탈 이유가 없는 차인데. 사실 현기차 주행질감도 많이 좋아졌는데 그래서 경쟁력이 그닥 없네요. 리뷰 잘 봤습니다. 감사합니다.",3
29,쉐보레 특유의 외부 디자인이 참 멋지다고 몇년째 생각하지만 인테리어는 무슨 초등학생 저학년한테 맡긴수준이네... 네비가 작다고 해도 저게 무슨감성이야....,1
30,외장 디자인은 지금봐도 이쁜데 실내 디자인만 제대로하면 진짜 잘 팔릴텐데ㅜㅜ,51
31,"역시 한국시장 판매량이 적다보니 쉐보레는 적극적으로 차팔 마음이 없는갑다. 예전과 똑같은 디자인 똑같은 성능, 똑같은 센터페시아.... 유튜브채널이 활성화되고 자동차 정보도 예전보다 많이 알고 시간이 갈수록 전문적인 지식?을 겸비한 소비자들이 늘어나고있는데.. 안타깝다.",1
32,진짜 멋있는 차인거 같네요 ㅎㅎ,16
33,"회사 다른팀 사람 자가용이 페이스리프트 전의 흰색 말부.0터보이며, 근 주 3회정도 1달 같이 외근다니면서 느낀점은몇년전에 나온, 쉽게 말해 'LF세대' 차량으로는 동급대비 성능과 디자인면에서 꽤  좋아보입니다.당시 15년인가 16년도에 LF 2.0T 진지하게 고민하다 한번 참았던 기억이 있는데...요즘 작년에 쏘나타 신형 중간옵션차량 시승갔던 기억을 떠올리면확실히 말리부 풀옵구형이 더 괜찮아보이기는 하네요.구형 풀옵기준에 가죽의 컬러로 어느정도 상쇄하는 듯하나,하위~중간트림에 검정톤이면 좀 없어보이기는 하겠네요.요즘의 K5가 1.6과급 및 2.0자연흡기로 파워트레인은 그저 그런데, 우리나라 사람들은 확실히 인테리어, 익스테리어가 중요한가 봅니다.",2
34,오래되었지만 디자인은.짱이쁜거 같아요 단점은 K5 차선보조 기능이 다들어가있는뎅 ㅠㅜ말리부는 풀옵까지가야한다는게 흠이네요,11
35,아.. 이차는 진짜 D딸만 아니면 사고싶다 ㅠㅠ d모드 정차때 진동없는차가없어서 ㅠ 엔진도 좋고 가성비좋은데,1
36,무선충전은 없어도 되는데 오토홀드 없는건 많이 아쉽네요. 시내주행할때 오토홀드 있는차 타다 없는차 타면 불편함이 체감되는데.. 무선충전은 에프터마켓 충전 빠른 제품이 워낙 많아서요. 뭔가 5% 정도 아쉬운 상품구성이네요. 시승기 잘 봤습니다.,5
37,"올뉴 1.5 일년 타보니 장단점은...장점 : 기본기가 충실함. 고속주행, 조향 등단점 : 기본기만 충실함오토홀드, 패들시프트, 차선 중앙유지가 없음(이탈 방지만 있음)",11
38,말리뷰의 주행성늠은 현기세단들을 압도하는게 사실인듯....다만 옵션 인테리어등등이 약점임,16
39,9단변속기만 선택사양으로 해주면 최상인데!  GM 승용라인 유일한 차(캐딜락제외),4
40,뭐지? 하고 날짜를 의심했다..... 2020년이 두달남은 이 시기에 과거로 돌아간듯한 느낌을 주는 말리부네요,26
41,네비소개하시는거 부터 실내 보는데 진짜 2021년형이 아니고 2011년형이라고 해야 믿을거 같아요,1
42,"솔직히 차는 좋음 , 다 좋은걸 미션이 다 해먹음 !",4
43,"아마 2024년까지 큰 변화없이 쭉 그대로 생산되지 않을까 싶네요. 요즘 차인데 오토홀드를 넣어주지 않는 건 좀 큰 것 같아요. ... 신형SM6는 아무래도 예전에 굳어진 이미지, 가격이나 옵션 정책이 여러모로 실패가 아닌가 싶어요. 한국 시장에서 그랜저가 잘 팔릴 수 없는 이유는 분명한 것 같습니다.",1
44,가장큰 장점은 저크기 2.0인데 1500키로언더로 강성도 짱짱...기본기보고타는차죠,19
45,"영상에 나오는 프리미어 스페셜 실버색상입니다. 20년식 2.0인데, 주행감, 가속성, 정숙성, 끝내줍니다.",3
46,유튜브 알림오는데전문가의 느낌이 물씬나면서 고급감이 넘치네요잘보겠습니다 대표님😆,5
47,한손 넣고 트렁크 닫을때 코너링 돌때 끼~~~소리 너무 👍🏻,1
48,이정도면 한상기로드인듯출장길에 다니던길인데 영상으로보니 반갑네요,3
49,엑셀반응이 살짝 느리긴하지만 그래도 초반 가속이나 토크가 괜찮았던 차.핸들 그립이 생각보다 두껍고 엄청나게 미끌거림. 기름 미끌거리는 그런 느낌이 아니고 그립이 거의 없음.차가 큰데 운전해보면 엄청 가벼운 차? 좀 빈 깡통차 모는 느낌이 계속 남.,3
50,실내인테리어 충격적이네; 20년전 차랑 차이가없네,1
51,좋은 리뷰 잘봤습니다.,1
52,6개월차 오너입니다 어떤평가가 있는지 워낙 리뷰가 적은 차량이라서 궁금해서 왔습니닼ㅋ모두 안전운전 하세요~~,12
53,한기자님 안녕하세요..^^미션이 정속 주행하다가 급 가속하면 원래 좀 멍 하지 않나요??영상 재밌게 보고 있습니다..,2
54,매번 잘보고 갑니다.감사합니다.😊,2
55,2.0 타고있는데 만족합니다 개인적으로 그냥 차는 이동수단 그 이상 그 이하도 아니라서 잘나가고 안전한게 제일 좋다고 생각합니다 옵션이 중요하다고 생각하면 현기가시면 되는거구 굳이 현기빠니 쉐슬람이니 그만 싸우셨음 좋겠네요..,3
56,실내는 기대도안하지만 Led의 부재 다마의 개선이 없으면 판매량에 크게영향미칠듯,5
57,쉐보레와 르노삼성이 현기에 비비지 못하는데는 이유가 있다고 느끼게 되는 영상입니다.,3
58,잘 보고 가용 쉐보레 차 만듦새는 정말 좋은데 우리나라 소비자들은 옵션을 더 선호해서 아쉽네요.,6
59,이 주차장이 내가 제일 많이 본 주차장인듯! ㅎㅎ,3
60,쉐보레가 하체는 최고지. 승차감은 최고임.,5
61,외관은 진짜 예쁜데.. 실내 인테리어 어쩌냐... ㅠㅠ,4
62,실내인테리어가..실차보면 영상과 다르게 크게 거부감은 안들어요~^^,5
63,8세대 타고 있는데 9세대보면 외부 디자인은 괜찮은데 역시나 실내가..10세대가 나왔으면 좋으련만.. 아쉽네요..,2
64,와 잡아돌리는데ㅋㅋㅋ코너링 안정감 미쳣네,26
65,쉐보레는 주행 질감은 참 좋은데 디테일과 편의 장비가 국내 소비자 성향과 너무 안 맞아.미국 중심 관점에서 벗어 나면 글로벌에서 분명 성공 할텐데.....,55
66,더뉴.0타고 있는데 완벽한차는 아니지만 가성비 좋은 차는 맞습니다장점이 많은차,27
67,한때 쉐보레 탔었지만(3댸) 쉐보레차 리뷰보면 자기차라며 댓글다는 사람이 특히 많은편..자격지심이라면 뭐하고소유해보면 아는 주목받지 못한자의 비애랄까 특유의 빈정감이 좀있음.ㅋㅋㅋ그리고 빠지지않는 그놈의 기본기..이젠 딴차들을 타지만 쌍용차같은 경우 아니면 다 좋음저는 과속충인데 예전에 국도서 140으로 돌던 코너를 그욕먹는 현기SUV로도 별 위화감없이 돌아가더군요. 2010년근처도 아니고 이젠 성격의 차이일뿐이라는 생각.오히려 같은차도 요구와 수요에따른 세분화 모델로 내놓고 있으니 스포티한 주행감성도 그닥 자랑거리도 아니더라는..,1
68,200키로 직발 소나타 k5 SM6 렌트해서 시승했습니다 근데 말리부가 직발 고속안정성  최고 인거 같네요,15
69,(구)말리부 8세대 가솔린 2.4를 타고 다녔는데 엔진실화땜에 고생한거 생각하면 머리가 아프네요 엔진시동이 10번 넘게 꺼졌는데 그때 마다 사업소에서는 센서만 갈아줬네요 동일증상으로 계속 왔으면 자세히 봐줄만도 하것만.. 해결해줄려는 의지가 없더라구요 보증기간 지나는걸 기다리는건지 다른건 다 좋았습니다 엔진이 문제였지.. 쉐보레차는 다시 안살거 같네요,1
70,퍼블 led만넣고 할인들어가 2670 에올4월 구입해서 타고있는데 이정도 가격에언덕 진짜 잘치고올라가고 고속주행 밟는데로 쭉쭉 잘나가고 뭐 전 별 문만없는거 같아요 ㅎ,6
71,"차가 나쁘진 않은데, 가격이나 수리비가 경쟁차에 비해 너무 후달리니...",1
72,동급에서 되게 빠른편에 속하는 차,7
73,"와 말리부다 ㅎㅎ전 고급유 넣고 타는데, 일반유 넣으니깐 가속이 안나와서 그냥 쭉 고급유 넣습니다 ㅋ",6
74,LF쏘나타 2.0텁이랑 비교하면 어떤가요? 좀 지난연식이긴 한데 중형세단 터보론 엘텁도 좋은거같아서요,1
75,2017년 올뉴말리부 타고있는데 진짜 실내랑 트렁크의 마감이 진짜 아쉽습니다... 9:28 스피커랑 트렁크쪽 테일램프 전선같은게 다 보이는데...에프터마켓 제품으로 10만원도 안하는거 좀 달아주지...,2
76,한상기님 성우 하셨어도 성공하셨을거같음목소리 대박임. 구독자분들도 공감하는분들 많을걸요 ㅋㅋ,5
77,한상기 형님이라고 부르겠습니다이편 기다리다 목 빠지는줄 알았습니다잘 보겠습니다ㅎ프로필사진 멋지십니다,1
78,저8세대 17만8천 탔는데 다른건 몰겠고 미션만 해결해주면 좋은데 그리고 지금 9세대보다 8세대 디자인이 더 좋아용 ㅋ,8
79,2016년 07월식 2.0T 초기모델 오너입니다. 빨간색 터보 앰블럼 붙기 전 모델이요ㅎㅎ 이제 딱 5년 5만키로 탔는데 그사이 결혼도 하고 두딸 아빠가 됐네요. 5년 타면서 운동성능은 어떤 국산 2000cc에도 뒤지지 않는다고 생각해요. 애들 태어나고 편의사항 때문에 기변 욕심이 여러번 왔을만큼 실내는 진짜 허접하지만 그 외엔 정말 만족하며 탑니다.,2
80,클래식함을 추구하는 실내 ㅋㅋㅋㅋㅋ,6
81,진짜 인테리어 보면 살까 고민하는 사람 내쫒는 디자인,41
82,"기본기 그리 좋다는데 판매량이 안나오는 이유로 차값을 먼저 꼽게됩니다차값에 비해 내부디자인 옵션 타회사에 비해 심각하게 밀립니다 풀옵가야 탈만해지는데 그 가격이면 그랜져보니까요그냥 비교가 안되요차량 성능은 현기도 그냥저냥 탈만하고 심각한 차이까지 느껴지지 않는다는거비교는 된다는거.그게 종합적인 판매량의 차이를 말해주는 듯 합니다. 몇천짜리 사는데 병진같이 돈쓰는 사람은 없으니까요.+유지보수, 서비스, 중고감가 등이 있겠습니다.쉐보레가 좀더 유지보수 인프라를 넓히고한국 환경에 맞게 개선한다면 판매량 증가를 엿볼수 있으리라 상상회로만 돌려봅니다.현실은 현기로 돌아오게 되네요.",5
83,미국차들은 진짜 실내만 좀 이쁘게하면 좋을텐데,1
84,20년식오너인데 21년식 기어봉 바꼇네요!!개인적으로 20년식이 더 이쁜듯..,5
85,몇년전만 해도 저 실내디자인 괜찮다고 생각했는데....지금 현대 실내보다 보니...,5
86,.0이만한 가성비는 없는듯합니다 이돈둘여서 이정도 퍼포먼스 전 아깝지 않네요 타보시면 압니다,6
