,comments,likes
0,오토뷰 시승기 몄편 안봤지만..칭찬 일색인 시승기는 처음 보는 군요..그 많큼 잘 만든 차인 거 같네요..경차는 구매 리스트에 올려 놓지도 않았는 데..한번 고민 해봐야 할 거 같군요.. 잘 봤습니다.,67
1,스파크랑 아반떼 AD 고민하다 이 리뷰보고 스파크 구매했는데 탈 때마다 기특하고 가격대비 만족이 가능한 차란 사실~,42
2,디자인 정말 이쁘네요.,37
3,"m300과 m400을 모두 운용중인데, 3기통으로 바뀐 데서 오는 어마어마한 진동과 소음을 빼고는 모든 점에서 나아진 점이 확연한 더넥스트스파크입니다. 시동시나 정차시 진동은 m300대비해서 마치 디젤차를 탄 듯한 착각이 들 정도로 심해졌습니다.",3
4,전면부 그릴 디자인 이전버전에비해서 정말 세련되고 이쁘게 나온듯합니다~ 취향저격!!,4
5,신뢰감 있는 리뷰 감사합니다.,4
6,스파크 진짜 잘 만든 차죠!,13
7,김기태 pd님 예전부터 쭉 잘 보고 있습니다 너무 좋아요,7
8,스파크 정말 맘에든다.인정,32
9,"과거의 스파크도 평가를 굉장히 좋게 해주셨는데 신형은 더 좋아졌네요! 한국gm, 항상 뭔가 아쉬웠는데 스파크를 시작으로 더 잘해나갔으면 좋겠습니다. 한국에선 차의 기본기가 무시되는 것 같다는 말씀 정말 와닿네요. 영상 잘 봤습니다!",13
10,"오늘 에코모델 LTZ 시승하고 왔습니다. 작지 않는 실내, 단단한 주행 성능, 언덕에서도 힘떨림 없고, 지역이 부산인데..언덕이 많은 지역이라 경차를 선택 못하는 이유 중 하나인데..정말 언덕 주행에서도 놀랬습니다. 선택해도 될거 같고, 타 사의 경차 처럼 좌우로 꿀렁 거림도 없고 단단함에 다시 한번 놀랬습니다. 단점으로는 너무 가벼운 핸들링 특히 시티모드는 너무 가벼워서 위험하다고 느꼈고, 너무 높은 가격대, 어정쩡한 운전석 암레스트 위치 이것도 고쳐야할거 같았습니다. 또한 소극적인 안전장치? 여러가지는 있었으나 적극적이지 못한 개입!..약간은 더 적극적으로 해야할듯 합니다. 잘보고 갑니다. 선택하려고 합니다.",28
11,타면 탈수록 맘에드는차,17
12,저는 청소년때 보았던 (그랜저 TG L330)오토뷰가 아직까진 어느 인터넷 어중이떠중이 자동차시승기보다 확실한 정보전달과 재미있게 잘 보고 있으며 제 첫차 구매를 결정하는데 도움이 되었습니다.아무튼 오토뷰에 항상 응원하는 독자가 되겠습니다.,13
13,"지금 5년째 타는데, 뒷타이어에사 찌그덕 소리나는 것과 아이들링시에 삼기통 특유의 진동을 제외하고는 특별한 문제가 없네요.. 이젠 놓아주고 새차를 구매고려하고 있는데 다음차는 트레일 블레이저 생각하고 있어요. 지엠 투박하지만 주행기본기가 좋은거 같아요",2
14,"좋은차인가 보네요. ㄷㄷㄷ지엠대우차 한번도 안사봤는데, 사보고프다.",12
15,영상 잘 봤습니다!!,5
16,진동이..다 좋지만 초대 스파크 (마티즈크리에이티브)나 뉴모닝 보다 엔진 기통수가 적어져서 3기통되서 진동이 심하더군요..,4
17,LPGI 모델 나오면 구매하려고 기다리는중인데출시 후 1년이 다 되어가는데 소식이 없네요.. 아쉽습니다,7
18,오토뷰는 경차부터 시작해서 준중형 소형suv 중형세던 중형suv 준대형 세단 대형 외제차 소개하기전에 인트로 bgm이 차급이랑 잘맞춰진거 같아요 그리고 한국gm(쉐보레)이 유일하게 잘만드는 차가 스파크죠 ㅋㅋ,3
19,깡통도 오디오 풀옵션이랑 동일한가요?,1
20,터보만 추가 되면 정말 좋겠다,30
21,"지인이 최근 구매해서 리뷰보러 왔더니, 숨은 노다지 찾은 기분이 드네요-!",6
22,성의있는 시승기 감사합니다. ㅎㅎ,14
23,김기태기자님  항상 잘보고 있습니다 응원하고 있습니다^^,1
24,스파크 최고가성비는 lt 이지트로닉이 아닌 싶네요 물론 울컥거리고 조금 답답한면이 있지만 연비도 오토보다 좋고 할인율도 제일 커서 상당한 메리트라고 보여지네요,3
25,리뷰를 보면서 정보를 골고루 그리고 꼼꼼히알려 주셔서 너무도 감사드립니다. 다만 시승을 하면서 승차감에 대한 평이 애매해서 질문 하나 드립니다.제가 키도 크고 몸집도 많이 큰 편인데 이 차를 타도 무리가 없는건지 라는 생각이 듭니다(키190),4
26,스파크의 가장큰장점은 아직까지 수동을 내준다는것. 경차에서 미션값 200만원을 세이브 시킨다는건 차량 가격을 15%나 뺄수 있기에 아주 좋지요.,1
27,이거 타고 다니기 잼있어용,21
28,상품성 대비 가격 경쟁력에서 현대기아에 밀리는 부분에 대해서 개선해야 될 부분으로 보여집니다. 경차를 구매하는 소비자들의 수준을 무시하는건 아니지만 차를 보는 안목이 높지 않은 분들이 더 많기 때문에 기본기가 얼마나 좋은차인지에는 관심이 없으니까요.,2
29,신형모닝 시승기 안해주시나요?^^비교시승 부탁드립니다,2
30,넥팍 최고인듯,6
31,14인치와 16인치의 차이가 큰가요? 저는 막 빠르게 달리지도않고 안전양보운행 하는데 연비적인부분이 걱정이 많더라구요 연비에서도 큰차이가 나고 그밖에도 큰 차이가 있나요?,1
32,네비를 센터가서 심을 수 있는데 왜 애초에 찍어낼 땐 안달고 나오는거죠? 100 더 받고 네비 심어주는게 자동차 회사에선 이익일텐데... 아시는 분 있나요??,1
33,계기판 바뀐게 정말 맘에 든당. 아베오랑 트랙스도 바꼈으면 ㅎㅎ,25
34,스파크.모닝.말이경차지.이정도면.충분히.타고.다닐많.해요.,1
35,느낌인지는 모르겠지만 쉐보레 특유의 단단함과 옵션까지 챙긴게 m400인듯고속주행 안정감은 차디자인이 그래서인지 m300이 좀더 나은거같고..,1
36,근데 스파크는 프리미어급인데도 안개등이 없는것이 이해가 안되네요,2
37,"성능 제외하고 실내인테리어도, 외관도 스파크가 더 나으면 나았지 뒤쳐질 게 없어 보이는데요",1
38,동네 마실용 자동차로 최고에요.게다가 디자인 성능 옵션까지 업그레이드 된 걸 보니구매욕이 팍팍 오릅니다.,12
39,저도 비교 따라하기 모터그래프vs오토뷰MG의 시승기는 마치 감성적인 느낌의 주로 말로 이루어진 시승기이고 / 오토뷰는 논리적이고 상당히 디테일해서같은 시청 시간 대비 얻는 정보가 많습니다. 가격 정보가 최고급 이외 트림의 정보기까지 함ㄲㅔ 제공 된다면. 보다 좋을 것 같습니다. 그리고 그래프나 자막이 너무 빨리 사라져서 되돌아 가야 하는 불편함이 더러 있습니다. 글시체를 작고 투명하게 하여 하단에 노출 되는 시간이 조금 더 길어져도 경쟁력 차원에서도 좋을 것 같습니다. 잘봤습니다.스파크. 이번&정말 잘 만들었네요!,7
40,LTZ모델 회사차로 리스해서 타고있습니다.개인적으로 구매했다면 풀옵션은 절대 안뽑았을것같네요..일반적인 크루즈기능은 정체구간이 많은 우리나라에서는 어뎁티브크루즈가 아니면 의미가 없는것같구요..led데이라이트가 아주맘에 들어서 옵션을 선택했지만 16인치휠을 무조건 끼어서 파는옵션은 이해할수가 없네요..코너링 하나는 끝내줍니다^^  경차의 경제성과 경쾌한운전감각의 타협점이 잘맞는 차인것같습니다 경차를 뛰어넘는 성능들이 좋네요 모닝 신형이 나온다면 어떨지 기대도 됩니다!!오토뷰화이팅,5
41,자동차 주행 중인 영상이 많아서 인지 주행소음이 많이 들리고 있어 거슬리는 부분이 좀 있는것 같아요. 하지만 전달하는 내용은 전문적이고 객관적인것 같아 좋습니다. 감사드려요,2
42,이번에 졸업하는 백수입니다. 딱 3년된 중고 사서 5년 탈 생각입니다.,17
43,문제는 너무 비싼 경차 가격과 경차 연비죠. 특히 일본 경차와는 연비 경쟁 자체가 불가능.,4
44,색 이쁘네,9
45,gm은 다 lt트림이 좋은건가,3
46,모닝이랑 스파크 .첫차로 어딴게 나을려나..,2
47,오토뷰님 쉐보레  아시는분 계시면 스파크 lpg가 출시 계획인지 알아봐 주실수 있으세요? 저와 같은 서민중 서민인데 차가 필요한 사람들은 경차lpg는 희망 입니다.,7
48,지금 트랙스 1.4하고 신형 스파크 고민중입니다 부모님이 타실거라면 어떤 차가 더 좋은건가요? 시티카중심으로 약 80끼로짜리 주행을 격주로 하는편입니다,1
49,시승기는 김기태pd가 가장 정확하다. 적당히 말로 떼우면서 시승기라고 떠벌리는 애들은... 무슨 굿 하냐.?,5
50,16인치 타이어에 대해 여쭙고 싶은데요. 수동변속기의 경우에도 그렇게 부정적으로 평가하실지 어떨지 궁금합니다.,3
51,스파크 좋아요 그래서 전 모닝탑니다,1
52,수동으로도 리뷰해주셨으면 좋겠습니다.,1
53,"17년식이하 스파크는 5~6만km마다 밋숀교환(250만원)들어갈거 계산하고 구입하셔야 합니다(저도 6만3천km에 중고 구입후 4개월동안 2,500km주행하고 밋숀결함으로 250만원들여 통째로 교환했습니다)",2
54,한국경차들은경차가아닌거같다.,11
55,LT플러스 수동1200만원 오너입니다이 트림이 가성비는 젤 좋아요,3
56,스파크 밋숀 밸브바디콘트롤 소착문제 고질병 입니다. 한번 수리비용이 100만원을 넘어갑니다. 수리해도 지속적으로 문제된다고 합니다. 불매운동이 답입니다보증기간 연장이 문제가 아닙니다,2
57,가장 허접한 시승기는 카센터,1
58,eco lt plus 어떨까요,1
59,영상을보니 고속주행 급 출발 할 일도 없는데안전을 더 생각한 16인치가 적정한 것 같은데요???!!!!,4
60,이쁘다,8
61,김기태 기자님 좋아요 ㅋ~,7
62,카플레이 아이패드도 가능한가요??,1
63,스파크 LTZ C-TECH모델이 풀옵션 모델인가요?,6
