,comments,likes
0,오펠+아이신은 확실히 운전자 입장에선 결코 포기못할 조합이긴 하지 옵션따위가 문제가 아님,37
1,잘보고 있습니다. 앞으로도 양질의 리뷰 부탁드립니다 ~ (전승용 기자도 점점 안정적이네요~ ㅎㅎ ),3
2,모터그래프 화이팅! 일부 몰상식한 인간들에게 흔들리지 않는 강건한 모습 보여주세요~!,13
3,잘봤습니다. 전승용 기자님 진행능력이 나날히 늘어가는건지 아님 편집능력이 대단한건지 ㅋㅋ,2
4,"캡티바 소유주인데 기능없는건 솔직히 인정 ㅋㅋㅋ 시대에 뒤쳐진것도 사실인데 나는 솔직히 운전하면서 블루투스, 에어컨 말고는 따로 안써서 크게 상관없다고 생각함",18
5,"2006식 윈스톰 차주입니다. 현재 40만킬로를 넘게 타고 있는데 정말 만족하는 차입니다. 주행 안정성, 브레이크 부드러우면서 잘 잡히고 잔고장없이 잘 타고 있습니다. 50만은 넘게 탈거같습니다.  아마 산타페나 쏘렌토였으면 벌써 폐차했을겁니다. 정말 내구성은 최고입니다. 정이 많이 들었네요.",11
6,잘 보고 갑니다 앞으로도 많은 리뷰 부탁드려요!,1
7,06년에 토스카 살때도 저차가 있었는데 아직도 팔고 있다는게 신기함..ㅎㅎㅎ10년을 타고 새차로 바꿨는데 저차는 06년이 아니고 16년형이 나오는구나...ㅎㅎㅎ,7
8,캡티바 신형에 미션이 보령미션 에서 아이신으로 변경 되었어요.옵션만 신경쓰면 너무 좋을것 같습니다.,9
9,생각보다 실물이 상당히 이뻐서 놀람..ㅋㅋㅋ 사골어쩌고 해도 이쁘긴하더라.. 실내는 안습이지만 ㅜㅋㅋ,36
10,이미 사골이라는걸 알고 있어서 안보고 싶었는데 모터그래프 시승리뷰라서 기대하고 봤는데 아주 그냥 사골중에 제대로 된  사골이라는걸 알려주는 리뷰네요 정말 어떻게든 사골아니라고 좋은 차라고 말해주신다고 고생하셨어요 전승용기자님,1
11,모터그래프는 김한용기자님꺼만 봤었는데. 이분도 잘하시네요~!!,2
12,디자인은 투박해서 좋은데 편의사양이 좀 아쉽네요 가격대가 생각보다 높은걸로. 아는데 개선되었으면 좋겠네요ㅎ. 모터그래프 화이팅하세요!!,1
13,뒷자리 리뷰부터 빨라졌어^^ 재밌게 봤습니다. 화이팅!,1
14,지금 비스토 경차 끌고 다니지만 돈벌면  이 차 사고 싶네요. 지인 얘기론 쉐보레차가 차체가 튼튼하다고 하더군요. ,10
15,금속노조에 따르면  D2UC기반으로 새로운 캡티바가 수입으로 출시될것이라고 합니다.,3
16,3열은 2열이지테크 기능있구요(모르는듯) 브레이크는 답력이 몰려있는게아니라 비례제어 방식임(밟는만큼 작용),4
17,그래도 디자인이 좀 괜찮네요,17
18,2016년형 트랙스도 시승기 한번 해주시면 안될까요!! 너무 보고싶네요ㅠㅠ ㅎㅎ,5
19,사골이기는 하지만 쉐보레는 진짜 자동차 기본기 완성도는 믿어줄만하다... 우리나라들어와서 보령미션넣어서 욕많이 넣지만 이젠 미국꺼 가져다 쓰던가 아이신거 쓰는거 보면 현대랑은 달리 달라질 마음은 있기는 한거 같음...,29
20,페리라기엔 엔진도 완전 리뉴얼애 미션도 아이신이야..,5
21,캡티바... 갠적으론 참 맘에듭니다.ㅎ.ㅎ 멋져부러~~  중간에 겨털 스티어링 휠은 넘 웃끼네요..ㅎㅎ 잘봤습니당^^,16
22,인터넷 보면 매번 느끼지만 무료 시승도 안해보고 차를 평가하는 사람들이 많네요  타보고 평가하세요 캡티바가 사골인건 맞는데 주행면에서는 탄탄하고 좋은차입니다,52
23,주행질감은 좋아요. 13년형 타고 있습니다. 엔진룸을 보시면 상당히 비좁 습니다. 뭐랄까 점점 기능은 많아지는데 더 이상 넣기 힘들어진 상태라고 해야 하나요. 뒤에 머플러도 그렇구요. 그 멋진 듀얼 머플러가 저렇게 된것도 오래 새시 구조 탓 아닐까 하네요. 환경 기준이 높아지면서 부품은 많아지는데 새시는 너무 비좁아진 느낌..그래도 미션이 아이신으로 바뀌껀 참 잘한것 같네요.  하지만 편의장비가 너무 열악해요. 하루빨리 출 체인지 되었으면 합니다.,7
24,모터그래프 화이팅 입니다 ^^,1
25,운전 할때보다 내려서 안경 안쓰고 리뷰하는게 더 듬직함,1
26,모터그래프 항상 잘 보고 있습니다. ^^,1
27,전승용 기자님 발음이 많이 좋아지신 것 같아요~ 앞으로도 좋은 시승기 기대하겠습니다. 그와중에 박효신 야생화...,1
28,캡티바의 장점 : 520d나 320d보다도 안보이는 희소성. 가끔 내가 정식수입안된 외제차를 타고 있는듯한 느낌을 받을 수 있다. 그러다 어쩌다 캡티바 발견하면 급반갑 ㅋ,34
29,나름 그래도 멋있게 바뀌는데..그래도아쉬운..ㅠㅠ,1
30,단종 되었지만 중고로 사고싶네요. 전폭은 이쿼녹스보다 큰 듯요,5
31,'이번 버젼은 전작에서는 없었던 뭐뭐가 추가됬네요' 같은 설명을 하실때 옆에 조그맣게 전버젼의 사진을 비교하기 쉽게 띄워 주시면 어떨까 싶어요 항상 전버젼과 비교하는 부분을 영상 끝나고 따로 찾아보게되네요 ㅠ 그외에는 너무 좋습니다 항상,1
32,현대가 이정도 차의 기본기를 보여준다면 진짜 좋을텐데...이것말고는 현대가 쓰기가 편한듯,3
33,4륜 트림 추가하면좋을듯,5
