,comments,likes
0,GM의 청사진 흥미롭네요,1
1,선좋아요.구독.알람후시청^^,1
2,기자님 리페르용...,1
3,제목그대로 한국에서 잘해보슈.,6
4,다알 갈거니까~~~~~,3
5,1:24 리브헤어가 아니라 립벨 아닌가요? 독일어 일텐데,1
6,05:30,1
7,Euv도 다시들어올때 히트펌프달고들어와랏 ㅠ,4
8,다들 계획이 있다 테슬라를 만나기전까진,1
9,오늘두 좋은 정보 감사합니다!! ,1
10,"다음번에는 르노삼성이야기도다뤄주세요. 2022년부터 르노코리아된다고합니다. 몇년후에 중국지리자동차 소속인  링크앤코가 르노삼성부산공장에서 하이브리드,전기차를 생산판매예정입니다.",2
11,흥미진진해요,1
12,회사 접고 수출만 하자,1
13,국내생산좀 추진하지  ㅠㅠ,1
14,쉐보래 좋아하는사람잇엇어???,2
15,통풍시트도 있고 전동트렁크도 굿. 디자인도 셀토스보다 갠적으로 맘에 듬. 간만에 관심가는 차가 나왔네요,3
16,차량이  정말    튼튼해 보이네요역시   조은차입니다 추천합니다,9
17,영상 감사합니다. 뒷좌석 등받이각도는 어떤가요?,1
18,실연비가 약간 하자네요ㅠ 크게 나쁘진않은데,2
19,혹시  기본네비는  어떤맵이  들어가는지  아시나요?,1
20,...차바꾸고싶다,1
21,잘생겼네요 트레일블레이저,2
22,설명하시는거 다 맘에 드는데 마이크를 따로 사용 안 하시나용..??? 말 소리가 먹힌다고 해야하나?? 또렷하지 않고 마치 박스 안에서 말하는 느낌이 듭니다 ㅠㅠ 이 부분 개선해주시면 더 또렷하게 들을 수 있을 듯 싶네요!,1
23,다른 거 다 필요업ㅅ고 무선 카플레이 넘 탐남,1
24,06:50 어댑티브 크루즈 켜고 핸들 놓자마자 오른쪽으로 갔다가 왼쪽으로 갔다가...몇초 가지도 않고 경고음 울리면 의미없는 기능 같은데...,2
25,풀옵 3000이하 아니면 가격정책 실패했다고 하는사람들은 알고나 말하시는건지? 소형으로 분류가 되었지만 소형차중에서 가장 큰 크기이고 셀토스도 풀옵 3000 넘습니다. 이정도면 가격 잘 나온게 맞습니다.,12
26,처음에 나오는 음악 뭔가요??,1
27,bgm 뭔지아시는분,1
28,3기통 싫어 4 기통모델로,2
29,rs 3천만원,4
30,저아저씬 등짝에 뭐라고 쓴거여,1
31,옵션 넣다보니3천이 넘어가는데??????,4
32,"안녕하세요 사랑하는 구독자 여러분!오늘은 1991년부터 26년간 우리 서민들과 자영업자들의좋은 친구가 되어준 다마스를 만나 보았습니다.쉽게 볼 수 있지만 잘 알지는 못했던 다마스는 과연 어떤차일까요?26:31 부터 미스달구지의 다마스 주행리뷰를 보실 수 있습니다.과연 미스달구지의 수동 운전 실력은 어떨까요?재미있게 봐주세요, 감사합니다 ^^",72
33,다른 클립 보고선 그냥 좋다 정도였는데 다마스 리뷰 보고는 라임님 팬이 됐습니다.... 차와 사람을 배려하는 좋은 리뷰 감사합니다.,1
34,다마스... 생각도 못한 리뷰에 감탄할 뿐이네요~ ㅋ 라임님 운전 실력에 또 한번 놀랐구요~ i30에 이어 두번째 시청 중인데 보면 볼수록 계속 빠져듭니다~ 틈나는 대로 다른 리뷰들도 시청해야겠어요~ 여러가지로 배울점이 많은거 같습니다~ 유익한 정보 감사드리고 헬멧 이쁘네요~ ^^,1
35,와 대박.....수동운전 잘하시네요클러치 유격이 빡세서 운전하기 힘들텐데대단합니다,1
36,수동운전하는게 멋있으세요 엄지척!!!,32
37,진짜 딱 시내에서만 타야 될 차..70년대 설계 된 경상용차답게 안전따윈 개나 줘버리고 연비에만 몰두해 모든곳에 원가절감을..,1
38,세상에 마상에 다마스리뷰를 보게될 줄이야 ㅋㅋ참신하닷~!,42
39,굉장히 즐거워보이세요ㅋㅋㅋㅋㅋ그래서 그런지 영상 분위기가 참 밝네요. 다른 유튜버들은 잘 하지 않는 차를 소개시켜주는 틈새시장력 까지 ㅋㅋ앞으로도 밝고 재밌는 영상 기대할께요!!!,1
40,여러가지를 생각해보게 하는 정말 좋은 리뷰입니다.,4
41,차도 귀엽고 운전자도 귀엽고 헬멧이 잘 어울림ㅋㅋㅋㅋ,1
42,수동차중에 다마스가 어려운차로 알고있는데... 잘하시네요 ㅋㅋ 굿!,1
43,다마스를 이렇케 꼼꼼하고 자세하게 40분간이나 리뷰하는 영상은 이영상이 유일할듯~~영상 보는내내 40분의 시간이 4분처럼 훌쩍 지나갔네요..목소리도 넘 귀여우시고 애교도 많으시니... 남자친구가 부럽네요~~^^;;ㅋㅋ앞으로도 신차와 올드카 외제차 다양하게 리뷰를 부탁드립니다.구독 합니다  ( ^-^) b,12
44,다마스 리뷰도 있었네요 ㅎㅎ 실제 다마스로 자영업 하고 있습니다~ 돈 벌기엔 최고의차 이구요. 좁고 운전하기 불편한 차인건 맞지만 적응되면 별 문제없구요~ 모든 단점 경제성 하나로 다 커버됩니다~ 연비가 LPG 1리터(800원초중반) 에 10~12정도 나옵니다.  모든 다마스 오너들 항상 안전운전 하시구요~ 리뷰 잼나게 잘봤어요~^^,1
45,운전잘하시는거 보기좋아요^^,1
46,정말 볼것없는차량인데 라임님이 너무 재밌으셔서 스킵한번없이 첨부터 끝까지 다봤습니다 ㅋㅋ그리고26:28 급격한 심적변화 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ우울할때마다 보겠ㅋㅋㅋ습닠ㅋㅋ닼ㅋㅋㅋㅋㅋ,13
47,마지막 멘트 들으면서 울컥했네요. 따뜻하고 착한 시선 고맙습니다. 구독합니다.,1
48,수동차까지 모시는군요!!!운전 실력이 장난이 아니십니다.,1
49,이번편 제일 재밌고 신선했네요 ㅋㅋㅋㅋ잘 보고갑니다!!!,1
50,온 차량 리뷰가 g70하고 잇는데 뜬금없이 다마스뜨길래 신기해서 봤는데 여자분이셔서 놀랏고 생각보다 준비도 많이 해서 방송한다는게 느껴짐 ㅅㅌㅊㅇㅈ,9
51,갑자기 다마스를 사야겠다는 충동을 느끼내요 ㅎㅎ 잘봤습니다.^^,1
52,라임님 헬멧이 잘어울리세요 ㅎㅎㅎ 다마스 코치를 보니 운반용으로 쓰다가 근교로 캠핑갈때도 좋을 것 같네요..,1
53,리뷰 재밌게 봤습니다다마스에대해 재밌고 자세하게 리뷰 해주신건 처음인거같네요 ㅎ,1
54,순간 헬맷준비하셔서 배달 가시는줄 알았네요 ㅋㅋ 그래도 수동 운전 멋집니다.,1
55,우와 스틱까지 모시다니 완전 멋있습니다 ㅋㅋㅋ,1
56,다마스 승용으로 생각중인데 이번 시승기는 너무너무 반갑고 고맙습니다 누가 이 차를 소개해주나요 수동 운전도 잘하시네요 실내 궁금했는데 구경잘했습니다~ 귀요미 다마스~ 이뻐요 -라보 오너,7
57,오 다마스다!! 다마스는 거의 화물 퀵으로 많이 쓰이는데 상콤한 리뷰네용! 그리고 라임님 수동도 잘하시고네여 ,1
58,작지만 열심히일하는차 멋집니다!!,4
59,재밌게 잘 봤습니다.다마스는 아니지만 타우너 밴을 1년정도 회사차 운전해봐서 그런지리뷰 내용들이 다 경험해본거라 예전기억이 되살아 나네요.덕분에 좋은 영상 잘봤습니다.,1
60,"달구지닷컴 다운 리뷰네요. ㅎㅎ지난번에 구독자들이 요청한 내용(다마스 리뷰, 헬맷 착용)을 반영하셨다니 더욱 반갑습니다.리뷰 내내 짠한 마음이 전해집니다.다마스때문에 안전기준을 바꾸기는 어렵기 때문에, 재생산은 어렵지 않을까 싶네요.(세워둘 곳만 있으면 한대 사서 새차 상태로 보관해두고 싶네요. ^^)",3
61,수동운전을 어찌그리 잘하세요?응원합니다!!ㅎ,1
62,리뷰 정말 잘하시네요 ㅎㅎㅎ운전도 잘하시구 외모도 정말 이쁘세요! 운전할때 헬멧쓴거 너무 귀여워요♡,1
63,진짜 알찬 리뷰같습니다~~ 미인이시고 번창하시고 구독누르고 가용^.^,1
64,정말 매력있는 리뷰인거 같아요 니로 영상 하나보고 반해서 하나하나 찾아보는중이에요 ! ㅋㅋ,3
65,빨간불에 정차할때 기어봉 좌우로 흔들어서 기어 빠졌는지 확인하는거 보고 소름이....확돋네요 이분은 수동을 많이 타본사람인가보다 하고요,1
