,comments,likes
0,영상화질도 엄청 좋고 차에 대해 잘 이해가 되네요 앞으로도 좋은영상 많이 만들어 주세요^^CAR review NO.1 오토뷰,23
1,일주일의 선물과 같은 오토뷰의 영상!오늘도 감사히 보겠습니다^^ 편집장님 만수무강하셔서 오래 리뷰해주세요~,11
2,오토뷰만큼 퀄리티 넘치는 영상과리뷰도 찾아보기 힘들겠어요.항상 잘보고 갑니다.😊😊,2
3,추천 트림이 있는데 너무 간결하고 좋습니다 앞으로도 모든차에 대한 추천트림이 있으면 좋겠습니다♡,2
4,"그랜저는 중,장년층에게 가격대비 느껴지는 만족감이 가장 큰 차중 하나가 아닐까 합니다.어디가서 쉽게 무시 당하지 않으며 넓직하고 풍부한 옵션으로 실 오너들에게 많은 사랑을 받는거 같습니다.단! 우리나라에서만요...80~90년대 그랜저의 상징성이 남아 있는거죠.",4
5,지리는 오토뷰 인트로질을 발랐는데도 이번 그랜져는 살릴수 없었다ㅠㅠ,1
6,진짜 김기태 기자님 최곱니다 와,7
7,"13년 전 김PD님의 그랜저TG 리뷰를 보고 아버지께 그랜저 TG를 추천했었던 사람입니다. 그동안 아버지께서 많이 만족하며 타셨는데 그만 올 초에 엔진 수리비로 몇 백이 날아가는 바람에... 지난 5월달에 효도하는 셈 치고 더 뉴 그랜저 2.5 익스클루시브로 바꿔드렸습니다. 3,3엔진, HUD, 디자인셀렉션, 빌트인 캠 빼고 다 넣었네요(...) 근데 차 바꾸고 제일 많이 들은 소리가 '차 좋네?' 보다 '차 터진다메?' 라 불효자가 된 것 같아 조금 슬픕니다..  3.3하려다 아버지께서 부담스럽다 하셔서 내린건데 이렇게 될 줄이야... ㅠㅠ 이번 더 뉴가 예전 TG에 비해 주행이나 성능이 많이 좋아지긴 했는데, 아버지께서 출발할때 엑셀을 좀 깊숙히 밟아야 한다 하시는거 보면 확실히 말씀하신것 처럼 저속 반응이 느리긴 합니다. 그래서 제가 운전할땐 스포츠 모드로 놓고 타긴 하는데, 어차피 이 차로 레이스할 것도 아니고 이게 뭔 의미가 있을까... 란 생각이 들어 그냥 스마트로 놓고 타고 있습니다. 다만 그렇게 해도 고속은 TG에 비해 더 안정적으로 잘 나가다보니 과속을 즐기시는(?) 아버지께서도 가급적 정속을 맞추려 노력하시더라고요. 과속 딱지가 아직까지 한 장도 안 온거 보면 차 바꾸기 잘 했다는 생각이 듭니다. ^^ 핸들도 TG보다  많이 좋아져서 보타를 안해도 되는게 너무 좋다 하시는데... 김PD님 말씀처럼 렌트카랑 일반 판매용이란 다른건가? 란 궁금증이 조금 드네요...;; 일단 휠부터 18인치에 타이어는 미쉐린이기도 하니..;;; 저나 아버지나 차 시동 걸기 전에 오일류, 냉각수, 워셔액, 타이어 체크를 하는 버릇을 들여놔서 출근 전에 매일 체크를 하는데, 엔진 오일 소모량이 아직은 정상이라 그나마 걱정이 덜합니다.  곧 5천이 되는데 권장 규격인 0W20 대신 현대의 5W20으로 가볼까... 생각하고 있습니다. 파란손에서도 이야기하면 해준다 하더라고요.그나저나 2.5의 알려진 문제가 빨리 해결되어 아버지께 효도해 드린 의미가 퇴색되지 않았으면 좋겠습니다... ㅠㅠ",22
8,내년에 나올  k7 풀체인지가 현 k5 보다 파격적이고 완성형이라고 들었는데 그나마 그때되야 집안 싸움으로나 경쟁을 할 수 있겠네요:),17
9,"항상 리뷰 잘보고있습니다. CT4, CT5 리뷰도 해주셨으면 하네요!",32
