,comments,likes
0,몸도 마음도 자연으로 달려간다,2
1,올려주셔서 감사합니다. 1994년형 뉴그레이스 제가 유치원다닐때 유치원차였던기억이 납니다.^^,5
2,현대그레이스 봉고차 많이그리워요~,2
3,1987부터가 아니라 1986부터임니다.1986년 광고는 성우 양지운분 목소리....1986~1991년형 초기형 그레이스1992년형 초중기형 그레이스1993년~1995년형 중기형 그레이스1996~2003년형 후기형 그레이스,2
4,3:10 emmylou harris - mr sandman 노래가 나오네 진짜 노래가 광고랑 잘 어울린다,1
5,그레이스 옛날에 어린이집 다닐때 어린이집차 였어요,2
6,박스형카 카니발에 발림 발리면서역사속으로 그레이스 쿠킹호일이스타나가 단단했죠,1
7,1:59 그레이스 스틱만 있는줄알았는데 자동도 있었네 ㄷㄷ,4
8,저땐 성우가 녹음했다지?,1
9,농협 옛날차,2
10,3세대 그레이스 광고가 마지막 광고네요?,1
11,아직도 타는중,1
12,나 각그레이스랑 동갑인데 ㅎㅎㅎ나도 86년생임,1
13,엉 우리 태권도차가 그레이스 인데(옛날),2
14,1:51 그레이스 아시죠,3
15,아이스하키  그레이스,2
16,1:36 이건 뭐 ㅎㅎㅎㅎㅎㅎ,1
17,현대 뉴그레이스F/L 더올뉴K5(17인치) 휠 장착합니다.,2
18,아이스하키는 조용복,1
19,재밌게 잘 보고있습니다 ^-^,1
20,하부는 청테이프를 사이드스텝에 붙이고 비슷한색락카를뿌리고 알루미늄테이프로 부식이나는 거를 방지한게 세월이 지나면서 삭아서 청테이프 실이 보이는거같네요...,3
21,15년전 어렸을쩍 지겹도록 탔었는데ㅋㅋㅋㅋ(휠은 스타렉스랑 공용입니다),5
22,오늘도 재밌게 보고갑니다,1
23,오랜만에 덧글 남기네요.휠은 스타렉스 구형과 영상의 그레이스휠이 서로 호환됩니다. 스타렉스도 순정휠로 저휠이 달려나왔고 그레이스도 달려나왔었죠.안개등은 예전 뉴엘란트라 모델과 호환이 되구요그레이스의 실내 대쉬보드나 핸들 등 앞쪽 내장재들이 일부 버튼들을 제외하고는 대부분 뉴포터와 동일하여 호환됩니다. 사장님 영상  항상 잘보고있습니다.큰 일교차 감기조심하시고 오늘하루도 고생하셨구 내일도 화이팅입니다ㅎㅎ,3
24,띵동띵동 소리가... ㅋㅋㅋ 추억의 소리네요,2
25,그래이스 밑급모델인 스타렉스,3
26,마냥 웃으며 보기 안타깝네요. 30이란 금액손해가 결코 적은 게 아니잖아요. 액땜이다 생각하시고 앞으로 300이 넘는 이득이 있으시길 빕니다.,6
27,기어봉쪽에 잇는선은 비상깜박이와 크락션이 연결되어 잇는  선이고요  스위치는 올리면 비상등이 켜집니타,5
28,그레이스 특히 15인승 롱바디는 진짜 바디강성 최악임 코너돌때나 비포장길갈때 바디뒤틀리는거 다느껴짐,2
29,바바티비 여긴 내가진짜 인정한다 ..명불허전이더라 ㄷㄷ,1
30,그레이스가 스타렉스보다 훨씬 낫군요👍사람을 한꺼번에 실을 수 있으니까요 ㅎㅎㅎ반면 스타렉스는 한꺼번에 싣지 못하여 정원이 불과해서 불편하구요,1
31,"혹시 연수구맞나요? 자동차,생활용품 수출하는거 mbc스페셜에나왔는데 배경이 비슷해가지구요 ~",2
32,제가 기다린 차량^^,4
33,꼭 비상금을 찾길 바랍니다 ㅋㅋㅋㅋㅋㅋㅋㅋ,3
34,근데 번호판없이 이동해도되요.??,1
35,성인이되면 데일리카로 튜닝해서 몰고다니고싶은 차네요ㅋㅋ,1
36,그레이스는 굿래이스다 ㅋㅋ,3
37,그레이스가 봉고차계에 치타죠~~,1
38,마카롱티비가 그렇게 좋음?? 구글플레이가서 다운받아보고 아니면 개팬다 진짜,1
39,유치원버스로많이봤는뎅ㅋㅋ,7
40,제가 좋아하는차네요그중에서밴위주로좋아합니다,1
41,그레이스뉴포터구형포터와비슷합니다,3
42,바바티비만 잇으면 하루7ㄸ 쌉가능 ㄷㄷ,1
43,포터vs그레이스 당현히 포터..일까.?,4
44,현대 그레이스 15인승 버스 맞어요?,1
45,그런데레간자수출안되나요,3
46,각그레이스없나요?,1
47,모래사장ㅋㅋㅋㅋㅋㅋ,2
48,카본 수리하는 방법으로 섬유제질로된 천을 붙여서 경화제를 발라 굳혀 놓은겁니다 그다음에 붙어서 카본이랑 한몸이 되면 갈아내서 형태를 되찾아야 하는데 탄소가 아니라 일반 천으로된 섬유제라 저렇게 붙여서 단단하게 만든다음에 부식을 막은 저런 창조 경제를?실천했다 봐야겠네요 ㅋㅋㅋㅋㅋㅋ,1
49,이차는 쇼바를 않보나요?,3
50,ㅇㅇ진짜 공짜더라 .. 나도첨엔 안믿엇음 바바티비 여기 이수위가 공짜일줄은..,1
51,저 배선 나와있어도 될런지!!!!,1
52,원래는그레이스휠인데,1
53,마카롱티비 이정도 수위를 공짜로 볼수있다고? 궁금하니까 구글플레이에서 다운받아봐야지,1
54,열심히사네 마카롱티비 응원한다 나도 한번은 다운받아서 들어가줄게,1
55,박준규님 드라이비트자제인 메쉬입니다 건설자제입니다 하부에 붙어있는게요,1
56,ㅗㅜㅑ 바바티비에 이상형 4명넘게봄 ..진짜 한번을 못보던 내 이상형잌ㅋㅋ,1
57,왜가죽시트를좋아하고지물시트를좋아해요?,3
58,바이어가 누구에요?,3
59,마카롱티비 뭔데 여기저기 다 보이냐? 나도 다운받아봐야지,1
60,b페차수준아닌가,1
61,와 바바티비여기 ㄹㅇ공짜임?,1
62,뭉탱이로 있다가?,1
63,아직도 바바티비를 모르는애들도잇냐 ..흑우냐 ..,1
64,바바티비 댓글알바들 광고 개오지네 ㅡㅡ 근데 이런건 빨리말해줘야지 ㅎㅎㅎ,1
65,마카롱티비 어플에서 성인인증만하면 공짜로 볼 수 있는거죠?,1
66,마카롱티비 유튜브만 봐도 수위있어보이던데 어플 다운받아보면 얼마나 쎔? 한번 들어가봐야겠다,1
67,바바티비 아직도 플레이스토어에 검색안해본 흑우도잇음?,1
68,바바티비 여기무슨 ㅇ동사이트임?,1
69,형한테 마카롱티비 어플 성인인증해달라고 하고 같이 야한거 봤음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
70,ㅎㅇ,3
71,그레이스 광고에 나오는 모델은 양정아 신인시절과 대한항공 여객기 추락사고로 생을 마감한 고 장세준님 목소리죠.,5
72,단순한 승합차가 아니였어요!!,2
73,각그레이스는 대부분 스틱이 흔해서 오토는 그리 흔치 않았음,2
74,저때 오토매틱은 비싼사양이어서 오토 장착한 그레이스는 드물었죠,1
75,뉴그레이스는 아직도 저희집에서 타는중,1
76,0:08 하이힐 신고 운전하는 클라스.. 좀 처맞아야지,2
77,'살롱(Saloon)'이 무슨 뜻입니까?,1
78,플라워링하트 플라워링하트 그레이스,1
79,문수현님도 그레이스 광고 성우가 장세준인가요?,1
80,양정아 아가씨,1
81,미쓰비시 델리카 랑 똑같네,1
82,스무살때 찍으신건가,1
83,플라워링하트 플라워링하트 플라워링하트 플라워링하트 플라워링하트대곡역 플라워링하트 레간자,1
84,저 광고속 아줌마는 지금은 할머니 됐겠다.....,1
