,comments,likes
0,"1열 헤드레스트 빼고 눕히면 뒷좌석이랑 평평하게 되었던 걸로 기억하는데... 정말 ""생활"" 이라는 차량명이랑 잘 어울리는 실용적이고 매력적이었던 차였는데 말입니다.",2
1,와 전 라비타 2002년식 1.8 오너입니다. 1부 부터 시간 가는 줄모르고 시청했습니다. 라비타 참 좋은차죠. 많이 안알려져 있어서 모르는 사람들이 많지만요. 저도 선생님처럼 리스토어에 도전에 보고 싶네요. ^^ 좋은 영상 감사드립니다.,2
2,"오늘 운전하다가 우연히 라비타 후면을 처음보고 이뻐서 검색해봤는데,  내부도 실용성도 정말 좋은차네요.  멋져요.",3
3,형님 손을걸친 차는 명품차로 다시탄생 하네요 형님 따라서 저도 어느새 차가4대가 돼었네요 항상응원할께요 ~멋쟁이형님 최고 ,4
4,형님차처럼 재출시되면 당장 사고 싶네요~ 넘 멋집니다ㅎ,3
5,라비다 친척형이 사서 그당시엔 참애매한 차였는데 지금보니 괜찮네용^^,3
6,"몇십년 전에 얼마나 세련되게 디자인을 했으면지금봐도 어색하지 않게새차 같은 느낌이.,",3
7,저희 아파트에도 라비타 한대 관리하며 타는분 계시던데 유니크한 매력이 있습니다.^^,2
8,역시 형님은 멋쨍이!좋은 곳 소개해주셔서 감사합니다!,2
9,2003년식 아직 타고 있읍니다.ㅣㅇ키로 참외박스 36개 실어서 공판장 갔다냅니다.차 힘도 좋고ㅡ그런데 엔진오일 누유로 차량엔진부분 온기계가 오일로 코팅되어 있답니다비슷한 차량없는게 아쉽네요.인도에선 대박났다고 하는데 우리나라에선 인기가 없었음ㅡ짐용 승용차라면  이만한게 없는데요.이제 신차구매 알아보는 중입니다.,2
10,대단하세요 건강 잘 챙기세요 날이 벌써 여름 같네요^^,2
11,라비타의 재발견이네요. 다시보니 꽤  스포티해 보여요,2
12,라비타 예쁘게 꾸미셨네요 :),2
13,"라비타 ~  라비타   라비타 나비처럼  훨훨나는    "" 날아라 나비타"" 닉네임으로   나비타~~~~~~~~~~  라비타에 디자인  멋지죠  외장컬러만 바뀌여도  수입차처럼 보이는  멋진차 매력이 넘치는 라비타!갤로퍼,레토나,무쏘,뉴코란도,구형프라이드,라비타,티코........멋지고 이쁜차들",2
14,한주를 시작하는 월요일 행복한 한주를 만드세요 건강관리 잘하시고행복하세요 빨른 완쾌를 기원합니다,2
15,레트로 감성... 최곱니다~,2
16,스티어링 휠 밑 비밀?수납공간에 우리 모 선배님은 쌍절곤을 보관하곤 했죠...ㅋㅋ,2
17,앞자리도 플랫시트한거보여주세요,2
18,라비타 좋은차죠 수납공간은 다 못쓸정도로 많아요,1
19,제인생 첫차가 라비타 에메랄드색이었죠...20대 추억의 첫차,1
20,시간되시믄 얼굴함 뵙고 싶네요~~ 차도 구경하고싶고~~ ^^,2
21,옛날차가 더좋은거아닌가요,2
22,와 내차 쏘렌토보다 좋은거 같아요.,2
23,차박해결^^대박넓어요,2
24,"차박지 쓰레기 정말 심각해요. 지금 클린캠핑하지 않으면 차박지 다 막힙니다!차박캠핑 카페에서 진행중인 쓰레기 되가져오기 캠페인에 꼭 참여해 주세요!!!폐쇄된 65개 차박지 목록 (신규 업데이트 날짜 - 21년 5월 1일)️경기도 연천 백학면 학곡리 노지 차박지 (신규 / 5월부터 위반시 과태료 300만원)️강원도 원주시 흥원창 노지 차박지 (신규)️충남 부여 칠지공원 노지 차박지 (신규 )️충남 당진 달맞이공원 노지 차박지(신규 / 10월까지 집중단속, 과태료 10만원 부과)️충남 아산시 곡교천 노지 차박지 (신규 / 5월 개방 예정)️강원도 고성군 송지호해변 노지 차박지(신규 / 4월기준)️인천 영흥도 노가리해변 노지 차박지(신규 / 4월기준)️경기도 가평 대성리 노지 차박지(신규 / 4월기준)️인천 선녀바위 해수욕장 노지 차박지 (4월 15일부터 폐쇄됨)️경기도 여주 강천섬 노지 차박지 (신규 / 6월부터 폐쇄)️강원도 양양해변 일대 노지 차박지 (신규 / 6월까지 집중단속).. 더 많은 폐쇄중인 노지차박지 정보 카페공지 참조(가입불필요/전체공개)차박캠핑 카페 https://cafe.naver.com/gpsf",2
25,오래된차라 방전관리 문의드려요,2
26,오랜만에 보네요 올라이드님! 미국에서 유명했던 지금도 유명한 Ford crown victoria 도 리뷰 가능하실까요? 경찰로 많이 쓰이고 참 수리하기도 편하고 막쓰기좋은 차체라 경찰한테 인기가 많았는데 지금은 포드 토러스로 대체됬습니다.정말 좋은차 였으니까요 리뷰부탁드립니다!,1
27,클릭 2002년식인데  아직 부식이 없네요 ..   차가 질리지가 않음,2
28,i20의 조상인데 한국에서는 이제 볼일이 없어서 아쉽네요ㅠㅠ,2
29,"올라이드님, 티볼리에어 부활에 대한 뉴스기사형 리뷰 언제 하실 예정인가요? 진짜 궁금해요.ㅠㅠ",2
30,티볼리에어 재출시 관련 리뷰도 좋을꺼같습니다산쵸님,1
31,모닝의 밀려 단종되었죠,1
32,나아직 클릭타는데 부식없음 다행히 ㅋ재미는있는데. 핸들이 너무 무거움,1
33,이번에도 열정에 박수를 보냅니다 ^^저는 웬만한 자가정비는 제가 해오다가 너무 힘들고 (이곳 일본은 부품 하나 사려면 먼저 방문일정 예약해서 예약일에 가서 주문하고 며칠뒤에 찾으러 가야해요. 토요타의 경우입니다 ㅡ.ㅡ) 그런 일정들이 너무 지쳐서 이젠 엔진오일정도만 집 개러지에서 교환하고 나머진 정비소에서 할 예정입니다 ^^;; 숙원 사업 끝내신거 축하드립니다   앞으로도 좋은 영상 기대하겠습니다  ^^,2
34,와~~~~~ 형님 정말 대단대단 이십니다~!!!!보는 제 속이  다 시원하네요!!! 막혔던 채증이 뻥 뚤린 느낌.... 20년 묵은 때가 다 사리지고 애기가 된 느낌...스트레스 사라지는 영상 감사합니다...제 지금의 용팔이도 저렇게 되면 얼마나 좋을까 ...보는 내내 생각했네요..^^;;;,3
35,역시 차는 주인을 잘 만나야 한다는 진리를 느낍니다!정말 차를 아끼시는 모습 부럽고 존경합니다!,2
36,차는 진짜 신경쓰는 만큼 오래 탑니다. 대단하시네요.,4
37,타이밍벨트는 20만km 거뜬히 운행 가능해요 . 10만 km운행후 불안해서 커버열고 확인해보니 아주 말짱하더군요. 오히려 라디에이타 호스와 히터 호스가  터져요. 부동액이 점점 줄어들어서 알게 됩니다.,2
38,열정이 대단하십니다보통은 대충 수리해서 타기 바쁜데..,4
39,참으로 대단합니다 늘 한결같은 마음으로 열심히 응원합니다,3
40,플러싱은 유막을 제거해서 안좋다..라는  의견두 많던데 괜찮을까요?,2
41,항상 잘 보고 있습니다^^메모리 카드를 한번 바꿔 보세요 메모리카드 수명이 다 되면 간혹 영상이 이상하게 찍히더라구요~~,2
42,비용이 얼마정도 소요되는지 궁금하네요,3
43,자동차의 세계는 봐도봐도 신기함다...ㅋ ,2
44,배우님 향상건강하시고 특히 몸건강기윈합니다 ㆍ땅끝에서 구독자 ~^^,2
45,속시원하네요. 제차도 한번해봐야겠습니다 마티즈2거든요 ㅎㅎ  어디서 정비한건가요?,2
46,고생하셨습니다개운하시겠어요^^,2
47,공임하고 소모품비 외판 커버류 들...차값 이상 아닌가요?,3
48,1차 영상도 있나요??,2
49,이정도 정비를 하면 차값정도 나올거 같은데요? 공임포함 대략적인 금액이 궁금하네요.,1
50,제가  다~~~속이  시원하네요 ㅎ,2
51,정비한곳 알수있을까요 ~?,3
52,새거는 진리~~~^^,2
53,저도 가서 점검받고 싶어요라비타차량입니다,2
54,굿굿ㅋㅋ,2
55,"아이고야, 제가 다 개운하네요.^^",2
56,제가 다 기분이 개운하네요 차 좋아하는 사람들 특징인가봅니다,2
57,"업로드 방침수입차, 수출형 광고는 안올립니다.업로드는 해당 차량의 광고가 더이상 안나오면 올립니다.업로드 요청 안받습니다.",1
58,라비타 엔진출력이랑 밋션이 너어무 구린거 빼고는 꽤 괜찮았습니다,1
59,라비타 망한차,1
60,현대자동차 라비타 웨건 차량은 후속차량인 i30 cw에게 자리를 물려주고 단종되었죠.,1
61,에스컬레이드랑 6000정도 차이나는데 비슷한 크기와 출력이라 충분히 수요가 있을 거 같네요 매력적인 차네요,4
62,와...팰리가 베뉴가되는 마법..타호는 진짜 거대하네요,32
63,멋진 리뷰 잘 보았습니다.재작년 부터 트래버스 레드라인으로 조그만 트레일러와 보트(23피트)도 끓고 있는데.정말 잘 나가더라고요.그 전에 볼보 XC60과는 비교도 않되게 견인하는 느낌도 없을 정도 엿지요.그런데 타호는 정말 어마어마 하군요.그냥 모든면에서 대단하네요.트래버스 레드라인도 옵션이 좀 아쉬웠는데 타호는 정말 다양하네요.좋은 리뷰 잘 보았습니다.앞으로도 좋은 리뷰 부탁해요,7
64,"뼈때리는영상...쉐보레가 국내시장을 고려했더라면, 시기적으로 그전에 들어와야했다는 그 말에 전적으로 동감합니다.영상 잘봤습니다.",8
65,대표님 옆에서 타호 함께 시승했는데 v8 6200cc의 미국감성 너무 좋았어요ㅠㅠ이래서 타는구나 싶었는데 기름값 무서워서저는 그냥 전기차 타야겠네요,49
66,"늘 상큼발랄(?)한 김한용 피디님의 리뷰 잘 보고 있습니다. 제가 미국에 살고 있어서 여기 현지인 유튜버들의 자동차 리뷰도 많이 보고 있는데 피디님의 리뷰만큼 재밌게 하는 분들이 없더군요. :)) 몇 년 뒤에 차를 바꿀까 생각하면서 리뷰들을 유심히 보고 있는데요, 기아 텔루라이드를 염두에 두고 있었는데 전기자동차시대로 완전히 바뀌기 전에 V8 자동차를 몰고 싶은 마음이 자꾸 드네요 ㅋㅋ 어쩌죠?",4
67,와.. 펠리도 엄청 크다 생각했는데 ... 굉장하네요..,5
68,차량이 튼튼하게 보이고 안정감있어 보입니다,7
69,"역시 차가 크다보니 여유있어뵈네요~ 공식 연비는 복합 6.4km/l, 도심 5.7km/l 네요 ㅎㅎㅎ",4
70,"와~차가탱크네요^^영상잘봤습니다.늘좋은영상감사합니다,",17
71,가격적인 부분 너무 공감합니다 ㅠㅠ 기본라인 나왔으면 진짜 삿을건데 ㅠㅠ,13
72,이햐 차 진짜 크다.. 근데 드디어 국내출시 한건가요?와 디자인도 멋지고 좋다. 근데 가격을 보니 링컨하고 겹치게 되는데. 흠..... 타호는 링컨의 에이에이터가 아니라 네이게이터 급인건가? 서버번은 타호보다 더 큰차네 ㄷㄷㄷㄷㄷ,1
73,와 펠리세이드가 작아 보이다니.진짜 미국차스럽다. 실내 투박한 것까지.,8
74,6.2리터 8기통인데 연비 괜찮은 편이네요..ㅎㅎㅎ콜로라도도 시내만 주행하면 5넘기기 힘듭니다..ㅎㅎㅎ,5
75,차는 확실히 멋진데... 연비가... 실제로 구입해서 탄다고 하면 살 떨릴 것 같아요;;,28
76,좀 더 대중적인 등급의 모델을 들여왔으면 하는 안타까움~타호를 원하는 사람들은 많은 옵션보다는 실용성을 원함  그래서  8천 전후의 가격대 모델 부재가 아쉬움국내 최대 배기량이 선사하는 자동차세 압박과S600급을 능가하는 극악의 연비는.... 찐 부자가 아니면 유지 관리가 어려운 차~로 만들어 놨음... 하지만 찐부자는 에스컬레이트를 샀겠죠...,5
77,오 다른 유튜버분들은 타호옆에서 서면 왜소해보이시던데 한용님은 딱 잘 어울리시네요!! ㅎㅎ,9
78,솔직히 쉐보레 자동차 문제가 아니라 수입해오는 쉐보레 자동차 몇몇차 빼고는 나라법때문에 못달고 들어오는걸로 알아요.  자동차 튜닝법이 빨리 개선좀 됐으면 좋겠어요. 콜로라도도 나온지 꽤됐는데 나라에서 법 계정이 되질 않아서 아직까지 일반전구 달고 달아야 된다니 옛날 구닥다리 법 계정이 빨리 필요합니다.,7
79,출장가서 렌트카로 GMC 유콘 거솔린6.0 몰았었는데 그느낌 잊을수가 없음. 레알 상남자의 차이자 주차공간만 있다면 제일 몰고싶은 풀사이즈 SUV.,3
80,지름값 싸면 타보고 싶네 ㅠ렌트카 빌려서 타보는 걸로...,1
81,서버밴 옆에 팰리세이드 있으면 진짜로 베뉴정도로 느껴질것 같네요.,1
82,시승기 너무 재밌네요 긴 영상이지만 스킵없이 봤네요,1
83,요즘 기름값 생각하면 끌고다니기 정말 겁나는...이젠 연비 생각 안하고 차사기 정말 어려워요.,1
84,정말 짱 이네요 좋은 정보 감사합니다,7
85,"지난 영상에서 메일 보내면 선물 준다고해서 호기심에 보냈더니 예쁜 노란컵, 열쇠고리, 모카 스티커를 보내주셨네요. 잘쓰겠습니다.ㅎㅎ",4
