,comments,likes
0,와 쏠라티 시승기는 기대하지 못했는데 ㅎㅎ 잘 보겠습니다~,2
1,와 쏠라티까지..노력이 대단하십니다!,2
2,대박... 이거 작년부터 시승기 궁금햇는데 ㅋㅋ 감사해여..현대 대리점서 출고하는거 딱 한번 보고 대리점서도 없엇는데 ㅋ,2
3,"공도에서도 잘 안보이고, 신기하게 생긴차라 궁금했었는데, 잘 보겠습니다.",2
4,주차하기가 어렵겠네요.그리고 좌.우회전시 후방도 조심해야 될듯요.,2
5,이차 시승기는 처음보는듯 잘볼게요~,3
6,말 그대로 공차여서 힘이 좋다고 느껴질 겁니다.대부분 상용차들은 저알피엠에서 최대토크가 터지게 셋팅이 되어있으니까요 승차인원을 다태우거나 적재량을 꽉채우면 연비도물론 힘도 못쓸거같다 생각하네요 카운티 엔진을 채택했으면 괜찮을거라 생각합니다.,2
7,르노마스터 를 보니 거품과 실용성이 굉장히 떨어지는걸 느끼네요 특히 가격은 진짜 말도 안되는듯;;,4
8,좋은 정보 감사 드립니다.쏠라티 23인승 어린이 버스도 리뷰해 주세요.감사하고 수고 하세요!,2
9,기존 6단수동차에 오토장착이 가능한지 문의했는데 그렇게 안된다는군요 그게 상당히 아쉬운점입니다 차값은 좀 내렸나요?오토장착인데 6000? 오토8단 350만원 추가하면 6200대가 되는게 맞는데 현대버스담당 관계자께서  가격을 낮춰서 말씀하신 느낌입니다 제가 최고급사양 5900대에서 자동문은 DASCO에서  달았거든요 자동문은 산청에서 부산에 가는 경비포함 100만원정도  들었구요 AS는 정말 마음에 들게 해줍니다,6
10,어휴 한분한분 댓글 달려주시고 감사합니다. 구독중누름 ㅎ 쏠라티 차체 프레임성이80%이상들어가있다고 들었어요현대에서 강한차체를 적용한건 역사이례처음적용한듯 ㅎ승용차 G70  67%강성  G80 55%IG 그렌져 65%  쏘나타65%코나 67%  아반떼 57%강성적용 I40 55%현대가 2014년까지만 해도기본차체강성이 기본48%~24%적용한걸보면 강성을 신경쓴듯 보이네요,3
11,자동8단이 현재 현대기아에서 나오는 승용8단과 동일한 미션이고 eq900이나 g80에 들어가는 미션엔 전자식모듈(정확히 기억은 안나지만 파킹모듈이였던거 같음)이 들어가요. 119차량이나 긴급출동차량은 법적으로 자동미션이 탑재된 차량만 운용가능해서 16년에 자동옵션을 넣은거지요.잘보았습니다,2
12,키가 워낙 크시니 차량이 덜 높아보이네요 잘 봤습니다.,4
13,항상 응원합니다 화이팅이요!,4
14,상용차 리뷰도 가즈아~~,2
15,조수석과 대화할때도 전방주시하고 운전하시길!옆사람을 보고 운전하시면 보는 사람도 불안하고 실제 돌발상황에서는 아주 위험합니다,2
16,뭔가 눈에서 긴장하신게 보이는거 같아요 ㅎㅎ 렉스턴스포츠가 가장 시급합니다 ㅠㅜ,2
17,1종보통으로 운전할수 있는 최대사이즈. 괜찮은듯.,2
18,나중에 이런거 하나 사서 부모님 모시고 다니고 싶네요.,2
19,"잘 보았어요.  하지만 실내외 정보가 너무 없어요. 좌석의 9, 11 인승도 보고 싶은데",2
20,"엔진은 A2 엔진입니다. 포터와 스타렉스에도 사용되고 있습니다.연비는 무게를 감안해도 같은 엔진을 사용하는 포터, 스타렉스와 별 다를바 없네요.혹시 브레이크는 어떤 방식인가요? 에어인가요? 일반적인 유압인가요?시승 차량은 몇인승 인가요? 저도 경기버스지점에서 직접 시승해보고 싶네요.",2
21,쏠라티를 바다낚시 출조용으로 활용할 수 있다면 태클박스 쿨러 로드 등을 어떻게 수납 가능할까요,2
22,"아 그리고 렌트가격이 많이 내렸네요 처음 나올때 35만원선이었구요, 기사동승에 빌려주는 조건은 더 지불했어야했습니다. 기사동승에 빌려주는 조건이  대부분이었고, 그냥 빌려주는곳은 극히 제한적이었고 2016년당시에는  차도 많이 없었던거 같습니다.저 같은 경우 25인승운전경력이 있어서 빌려줄수있다고 하더군요지금은 렌트비도 20~25만원으로 많이 내렸군요. 렌트한번 해보시고 평가를 해보시는것도 현명한 방법이라 생각합니다",3
23,차 디스할때마다 팀장님 눈치 보시는 리뷰어분..;; 그런 팀장님의 언짢은 표정,18
24,"저는 45인승 관광버스로 수송업을 하는 사람으로 쏠라티가 나오기 전부터 관심이 있던 일인입니다 저희 같은 직업군에 있는 사람의 견해로는 쏠라티는 현실을 반영하지 않은 ~  어정쩡하고 가격만 비싼차입니다 (사람들이 생각하기엔 그냥 15명이 타는건데 스타렉스 두대보다 비싼차입니다)1. 시장수송시장에선 승차인원에 따라 임대가격이 결정되지 차가격이 비싸다고 임대비를 더주는것이 아닙니다 (댓글에 언급하신 것처럼 대접받아야 하는 사람만을 태우기 위한차라는 것은 ~ 보통 사람들은 외면 한단 얘기고 ~ 이는 많은 판매량을 원하지 않는단 얘기와 같습니다)2. 사양1종보통으로 운전하는 대다수 사람들이 필요한 1) 차량수치는(1) 높이 2,1m이내 (하상도로, 지하 주차장 집입)(2) 현재 쏠라티처럼 2,7m 높이는 저희같이 직업적인 사람들이 대부분 선택해야 되는 차인데 그러자면 승차 정원이 15인승은 의미가 없고 20인승 정도는 최소한 되어야 그나마 카운티와 가격에서 덜 겹친다고 할수 있습니다   2) 엔진 (1) 마력170마력은 25인승 카운티와 같으나 마력수는 최고속도에 영향을 미치는데 이는 승용차일때 얘기고 ~ (버스 110km 제한, 트럭 90km 제한인 지금 현실에선 마력이 너무 높을 필요가 없습니다)(2) 토크화물차나 승합차는 토크가 더 중요한데 43토크는 11, 2 년식때 스타렉스와 동일하고 카운티는 62토크인데 ~ 현재 쏠라티는 제생각에 50토크는 되어야 합니다3. 시승 리뷰시승은 세분 ~ 저희 기준 으로는 빈차로 하셨는데 ~ 빈차로 끌고 다니려고 저차를 사는게 아니잖습니까 ~15인승이면 성인 15명이 타고 그분들이 가져온 캐리어 최소 하나씩을 다 실고 리뷰를 해야 되지 않나요 ??그러면 연비가 얼마나 나올까요 ~??언덕길을 올라갈땐 힘이 안 딸릴까요 ??그렇게 하는 것이 쏠라티의 목적에 맞는 정확한 리뷰 아닌가 생각합니다저에 생각으론 엄청나게 토크가 딸리고 연비도 뚝 떨어집니다4. 15인승에 대한 희망사항무난한 15인승이 나와주길 (학원, 유치원, 종교단체, 소규모 기업, 자영업자등~ ) 많은 소비자들이 학수고대하고 있는데 ~ 현대차는 소비자의 의견을 듣질 않습니다이 쏠라티에 의견 및 개선희망 사항등을 조사해서 아주 어렵게 쏠라티 마케팅 당당자에게 a4 네장 분량을 보냈는데 ~ 검토하겠다는 얘기 이후 답변이 없네요 ~5. 시승리뷰에 대한 희망사항어렵게 리뷰를 하신것은 알겠으나 차종별로 특색이 있고 승용차에 범위를 넘어서는 차량들 (버스, 트럭등~) 은 저처럼 관광 및  학생, 일반인 수송 15년등~  그분야 전문 종사자가 있는 만큼 전문가들이 보는 견해 및 궁금한점, 희망사항등을  미리 준비해서 리뷰에 넣으시면 소비자와 구독자들에 더욱 큰 호응을 받으시리라 생각하며 ~ 필요하신 의견이 있으실 경우 도와드릴 용의가 있습니다 ~나날히 발전하시길 바랍니다 ~",43
25,길이5미터에 천장높이도 좀 더 낮고 10인승인 차가 있을까요?,2
26,아주 잘 보았습니다.  참고로 중앙선이 안끊어져 있으면 도로진입시 좌측시그널 키셔야 하는데...당황하신 듯,2
27,개인적 생각입니다.  기본 베이스가 포터같아 보입니다.  이게 6천이면... 무슨 깡다구인지...  마스터 나오면 금방 단종될것 같습니다.,2
28,"기아에서 쏠라티 기반으로 예전 봉고승합차 만한 사이즈로 출시하면 대박날듯싶어요ㅎㅎ 현 쏠라티는 지붕도 너무 높고, 후륜구동이라 바닥 높이도 높고요. 전륜구동으로 출시했으면 너무좋을것같아요.",2
29,"제법 잘 나온 차같기는 한데... 가격이 너무 비싸죠...조금만 더 쓰면 카운티나 레스타가 가시권에 들어오는데 이 차들이 수송능력이 월등하니;;;경험상 승차감은 카운티 이상, 레스타 이하의 느낌이었고...카운티나 레스타에 비해 메리트가 있는지는 의문이었습니다...",3
30,완전 르노랑 주유구 부터 많은게 비슷하네요,1
31,10:25 ㅋㅋㅋ 웃다가 정색 네네!(쏠라티의 경쟁모델이 벤츠 스프린텈ㅋ엌~ 쓰윽 큼...),1
32,통학 버스로는 가격이 넘비싸  타산이 안맞아 할수없이 12인승합차 를 사는거임...쏠라티 가격이면 25인승합차 산다...가격때문에 이차가 안팔리는듯....,16
33,안녕하세용~ 또 시청하러왔어요 ㅎ 혹시편집프로그램 어떤프로그램 사용하시나요?,2
34,벤츠 스프린터와 디자인이 비슷하네요.,2
35,쏠라티가 처음 나온다고했을때 에이 스프린터네 스프린터를 대놓고 배꼇네 부정적인 이미지가 많았죠 막상 현대측에선 스프린터를 참고해서 베이스로 만든다고 공식적으로 알렸죠 그러고 막상 출시했을때 가격이 비싸다 창렬이다 라고 말이많았지만 그만큼 값어치는 하는듯합니다 거기다 버스라서 깡통 Vs 깡통 비교해봤을때 다른 미니버스에 비해 몆백만원 크게는 천만원까지도 처렴하더군요 물론 실제 할인을 빼면 더 차이가날수도있고 쏠라티가 더 비쌀수도있지만 온전히 차값만 놓고보면 쏠라티는 저렴한측에 낄수있겟어요 거기다 폭넒은 선택권이 있다보니 쏠라티는 완벽하지않나싶습니다! 아 근데 앞범퍼 안개등위에있는게 깡통모델이 아니라 발판이였군요 ㄷㄷㄷ 전 왜 저기를 비워놨지 쏠라티를보면서 궁금해했는데 그 궁금증이 풀렸네요!,2
36,아 그리고 제가 적은 연비는 무조건 나가는데로  다 밟았을때를 말한겁니다 속도 안지키구요 좁은 도로든 넓은 도로든. 통근용으로 사용하므로 무조건 다 밟습니다 네비속도 기준으로  평지속도 107~108 나오고 대전에 가면 잠시 113키로 나오는 구간있어요 약간 내리막길.계기판에 나오는 누적된 연비를 말하는거였구요. 요소수를 자동으로 태울때하고 요소수를 안태울때는 천지차이입니다 일일연비는 12대는 자주 나옵니다 경제속도는 낼수가 없는 상황에 있기에 경제속도로 달려본적이 없습니다,5
37,쏠라티는 면허증이 몇종이어야 한가요?,3
38,말이 안들리는 것도 아니고  적어도 운전중에  대화를 할 경우에는  서로 쳐다보며 얘기할 필요가 있을까요?  운전중이라는  특수상황이 다소 예의에 어긋나는 경우라 해도 이해될 수 있는 것이라 본다면  운전자 및 동승자 전부의 안전을 위해서라도  전방주시 하며 대화를 나누는 것이 맞다고 봅니다.,3
39,어떻게 유치원버스보다 더욱 화물차같구나,2
40,쏠라티 리무진 얼마정도 하나요?,2
41,잘보겠습니다 !,2
42,새차 인수받고 핸들에서 발생하는 개잡소음으로 서비스센터입고후 6회수리받고 소음못잡아서 본사입고시켰더니 원래나는소리라고환불교환 안된다던 그 차네요,2
43,동승석 에어백은 있는..거죠? 시트배열은 어떻게 되어있는건가요?,2
