,comments,likes
0,실내 인터페이스에 대한 김한용 기자님의 지적에 전적으로 동의합니다.중요한 기능은 한 번에 눌러서 작동 가능해야 합니다.,1
1,기자(모카팀)님 정말 영상 열심히 만드는거같아요! 항상 양질의 영상 감사합니다! 모카팀 고마워요!,39
2,아무리 정속 주행이라지만 저덩치가 연비가 20키로 나오다니 진짜 대단하네..,2
3,항상 너무 잘보고있습니당 ㅋㅋ덕분에 자동차에 대한 궁금증이 많이 풀린답니당,1
4,나도 스파이샷 보면서 현대차가 망하려구 차를 이따위로 만들었나 했는데김한용 기자님이 좋다니 저도 좋아보이네요좋은영상 감사합니다,3
5,비록 흉기라고 불리면서 욕을 많이 먹긴하지만 그래도 국내에선 르쌍쉐가 왜 안되는지 알겠네요. 그치만... 역시 디자인... DM이 정말 잘나왔다는걸 다시 느끼게 되네요,1
6,원래 좋은딜러였으나 탐켄치가 전면에 나서면서 좋은 몸빵이되서 극딜을 당했군요.근데 발로 차면서 단차 잡는 자동차라서 또 무슨 일이 벌어질지 ㅠㅠ 여전히 걱정이 앞섭니다.,1
7,개개의 기능은 있으나 그것들 간의 조작성을 용이케하는 종합적 관점의 사용자 인터페이스 개선이 필요하다는 말에 크게 공감합니다.,1
8,이거 만약사면 내년에 갑자기 풀체인지..... 사이즈업...혁신.... ㄷㄷ,5
9,차를 바꿔야하는 입장에서 처음에는 너무 관심있게 봤습니다. 근데 모든 리뷰가 풀옵션 리미티드급 차량이고(좋게 느낄수밖에 없지만 누구나 풀옵을 선택하진 않음)  심지어 요즘 결함으로 문제가 많은 차량들까지도 극찬을 해주시니...  신뢰가 가지않습니다. 보다 객관적이고 디테일해야 시청자 밑 구독자 분들이 도움이 되지 않을까요?   볼수뢰 기업에만 도움이 될것같아 글을 남겨봅니다,3
10,올해로 운전경력 27년....선생님 리뷰/시승기 보면서 아~!!  나는 운전만 할 줄 알았구나.... 생각합니다 ㅎㅎ구독하면서 처음 덧글 달았네요 (좋아요는 늘 누르고 있었습니다)매번 올려주시는 정성스런 영상들 잘보구 있습니다 감사합니다 ^^,3
11,싼타페 풀모델 체인지 전까지 국내 중형 SUV 시장은 당분간 쏘렌토 천하가 되겠네요...김한용 기자님의 쏘렌토 하이브리드 구입은 정말로 신의 한 수 셨었네요...ㅎㅎㅎ,2
12,이 디자인으로  현기 아닌 다른 회사에서 나왔다면... 곡소리 날 듯...  그랜저가 해외에서도 많이 팔리는 모습을 보고 싶습니다.  이 괴물 씨리즈는 언제 마무리를 할지...,1
13,공조기 온도표시와 바람세기가 네비게이션 상단에 항상 표시되었으면 좋겠습니다. 정말 중요한걸 놓치고 있네요....,2
14,"Magnifique ,vivement qu'il soit en concession que j'aille le voir",1
15,기업과의 관계가 중요한건 알지만 현재 문제가 되는 부분들도 콕콕 찝어 주셨으면 좋겠어요.차량 검수하듯이 꼼꼼히 살펴봐주셨음 좋았겠지만.. 뭐 시간문제나 그런게 있었겠죠..?,11
16,엔진오일 감소및 누유시 의 조치 예를 들면 엔진 블럭을 탈거하고 피스톤및 밸브 카본 세척을 얼마만에 해야 하는지 등등에 대해서도 어급해 주시면 많은 도움이 될것 갇습니다.,1
17,확실히 사진보다 영상보니 더 괜찮아 보입니다 실물로 보면 더 좋아보이겠네요,1
18,싼타페 인테리어색상과 대표님 패션이 너무 잘 어울려요.. 진심....ㅎㅎㅎㅎ,38
19,이번 페이스리프트 정말 괜찮은거같던데..야간에 뒤에서 따라오는차가 싼타페페리였는데 이쁘던데요..돈만있음 풀옵으로 사고싶다 팰리보다 좋아보임,21
20,영상미가 정말 멋있었네요ㅎ 편집자분 화이팅ㅎ,1
21,항상 좋은 영상 감사합니다 ^^,7
22,전 현대차 디자인 좋다고 느끼는데 예전 기아차 디자인 좋다고 생각함예전 기아k3차는 좋다고 했던 반면 그당시 현대차 디자인은 진짜 별로라고 말했거든요,1
