,comments,likes
0,아슬란 차주로써 아슬란 정말 정숙하고 잘나가고 연비도 만족스럽죠..전 출퇴근할때 평균연비 11이상 나오고 젤 잘나왓을땐 12.6 까지  찍어봣음  아슬란 타기전엔  그랜져 hg 탓는데  그랜져보다 훨낫고 후횐 안하고잇네여,11
1,전에 구쿱때문에 독설 많이 했지만...  이전엔 인정합니다. 썸네일 아름다워요. :)한때 저희 어르신께서 아슬란 사시려다가 패스했던 기억이 나네요. 지금와서 보면 인정. 중고로 2천대로 구매하기엔 정말 이상적인 차인 것 같습니다.,2
2,라임님 인터뷰도 설명도 맞장구도 다 보기좋네요 잘하시는듯 ㅎㅎ,4
3,중고로 사기엔 진짜 좋은 차임... 그랜저 보다 높은 옵션임. 그렌저 보다 중고 시세가 낮음.다만 유류비 걱정인 분들은 사지 마시길 바래요..,14
4,능고 가성비는 최강이라고 생각함...그런데 요즘 스마트 크루즈없으면 피곤하긴함....예전에는 어떻게 운전했나 생각도 들고,2
5,ㅋㅋ라임님 반하겠네 진짜.. 설마했는데 트렁크 또 들어가보시네 ㅋㅋㅋㅋㅋㅋ 이 차보면 마르샤가 생각남. 내 생애 현대차는 절대 안탈거지만 주변인이 굳이 추천해달라고 하면 딱 두대 추천함. 아슬란이랑 I40,5
6,다이너스티의 실질적인 후속 그러나 마르샤보다 시원하게 망해버린 비운의 차 ㅠㅠ 중고로써 가격대비 가성비는 괜찮은 것 같음,2
7,화이트색상은 그래도 올드해보이지 않고 괜찮네요~ 그당시에 그랜저가 저렇게 나왔으면 좋았지않았을까 싶네요,2
8,그래도 6기통에 2열차음유리까지.. 나름 장점이 있죠~ 다만 감가 맞은 중고차로 살 경우~! 아 그리고 렉시콘 오디오도 장점이죠 ㅎ,11
9,라임님 여기서 뵙네요 ^^!반갑습니다~ 앞으로 많은 활약 기대하겠습니다,2
10,그렇게 달구지에서 사라진 라임님을 여가시 뵈어 너무나도 기쁩니다. 어디계셨었습니까..ㅠㅜ,2
11,아슬란이 그랜져 달고 출시 했다면 대박 났을텐데...,2
12,아슬란 나중에 또 나올 수도... 6gt처럼 더 차별화해서 개발하면 터트릴 것 같은디,3
13,중고로 사기에는 임팔라와 더불어 최고의 차. 감가를 정통으로 먹어서 이 가격대에는 최고의 차라고 생각.,3
14,중고로 구매해도 나름 쏠쏠한 차임,3
15,3.3 가솔린만 팔고 이름이 다이너스티였으면 어땠을까 하는 아쉬움이..,13
16,차만 봤을 땐 참 좋은 차였죠..,2
17,포지셔닝이 그랜져보다 더 상급인데 당연히 돈있으면 아슬란 살만했지 G80 깡통보다 옵션좋고 전륜이라 실내공간 광활하고,3
18,중고 삿는데 좋은 옵션을 많이 넣었다고 ㅎ,2
19,라임님 잘보고 가요^^,2
20,새차로는 오바였지만 중고차로 사기엔 아주 좋은 차인듯 합니다!,25
21,이차가 정말 정숙성은 좋다고 하던데// 갖고 싶을때가 있어요...  라임님 이건 정기 컨텐츠가 아닌가요?,2
22,후륜싫고 제네는 좁아서 제너급 고급감갖춘 전륜 현대차를 원해서 아슬란 풀체인지라도 기대했는데.단종아쉽습니다,3
23,옵션승차감이 당시 그랜져보다 더좋앗고 당시 국산차 최초?로 앞차 출발알림잇는게 신기햇음,6
24,숨어있는강자 !!! 아슬란 사고싶어서 찾고있는데 잘보고 갑니다,2
25,진짜 LF 랑 너무 비슷함차는 진짜 좋다고하던데~^^,1
26,"라임님 목소리와 설명이 참 매력적인데, 자주 나와 주세요.  @!@",1
27,차라리 단독으로 나오는것보다쏘나타 라이즈 말고 쏘나타 LF페리버전이나 그랜져HG페리로 나오면 좋았을텐데,3
28,뉴라이즈도 진짜오너 시승기 보고싶어요,2
29,i40와 더불어 중고로 사기에 최고의 가성비 현대차.,9
30,그랜저 hg랑 비슷하다고는하지만 외부 디자인이 많이 정제되어서 지금 봐도 괜찮다 싶은 디자인인데... 내장은 시대를 타서 그런지 어쩔 수 없네요 ㅠㅠ,6
31,개인적으로 외관은 볼수록 괜찮은듯,4
32,"그렌저HG, 아스란 중고로 알아볼때 비교해서 살만 하겠네요.",2
33,라임씨  진행  잘합니다.^^,2
34,"현시점 중고로는 괜찮은 자동차 이유 중고로도 인기가 없어 차값이.,  그래도 1000은 넘지만 ㅋㅋ",5
35,그랜져바디로 만들었고 이도저도아닌 포지셔닝에 고급스러움도 적어서 결국 단종되어버린거죠 어슬렁이란 별명과 함께 ㅎㅎ,2
36,중형 대형 타려면 중고로  i40이랑 아슬란 싸게 사는 게 좋죠,1
37,라임님 언제부터?다시뵈니 반갑네요 미스달구지^^,1
38,그랜저HG랑 별다른 차별점이없는 이도저도 아닌차로 찍혔으니 조기단종된거라고 봐야되겠죠.이차는 현대차중에 가장 실패한 차라고 얘기가 되겠군요.그렇다고 가격적으로 경쟁력을 제대로갖춘 차도 아니였음.,39
39,그랜져 라스트 에디션이나 스페셜 에디션으로 나왔어야했을차...,12
40,그랜저보다 확실히 디자인은 더 좋아 보임,2
41,그냥 제네시스가되고싶은 그랜저다,1
42,실내는 뭔가 LF소나타랑 HG그랜져를 섞어놓은듯한 느낌이네요...,2
43,"LF소나타 큰버전중고로 후리미엄한거 타고싶으면 아슬란,k9킹왕짱",3
44,아슬란 외형은 지금봐두 ㄱㅊ든데 실내가 넘 올드함.,3
45,그냥 예전  그랜저TG에 쓰던 2700cc엔진 있었음 좋겠네,3
46,3.0 시내 연비는 어느정도 나올까요?,3
47,이 차는 그랜져와 구제네시스사이에서 옵션이 정말 어정쩡했음.. 그래서 망할수밖에..,3
48,그래도 중고로 사기엔 최고임 기름값빼곤,4
49,아진짜 라임님 실제로 보고싶어요!!!,2
50,그랜저보다 윗급이면 하부에 코팅되있나요?서브프레임 강성이라던가,2
51,트렁크 마감재에 박수,3
