,comments,likes
0,리타더와 와이드범버는 필수라고 봐야 합니다 와이드범버 들어가면 트럭자세 완전 나와요 눈웃음치는 이쁜 LED 상하좌우 4개 들어옵니다 정말 이뻐요,2
1,주문까지 시간 걸려도 와이드범버로 하세요 아니면 타다가 개조해야 되요,2
2,5:05 변속기어 발음에 깜짝 놀라신 교수님 ㅋㅋㅋ,2
3,천안 충청카에 누가 주문했는지 레드에 저상범퍼 카고 엑시언트 아직까지 임자를 못찾고 있더라고요 와이드범버였으면 몆십번이나 팔았을차를... 그차 팔려면 와이드범버로 개조해서 팔아야할듯요,2
4,엑시언트 사실때 와이드범버 따로 꼭 옵션 추가 하셔야 합니다 저상범버 사양이 있지만 고상과 차이없습니다 저상인데 높아요 안개등에 LED도 없고요와이드범버로 해야 간지납니다 카고도 와이드범버로 해도 요즘 길이 좋아서 괜찮습니다,3
5,와... ~!,3
6,연비가 최강입니다^^ 돈 버는 차임,2
7,수동기반자동변속기라 다른변속기없었나,1
8,어떻게 1년에 2000만원이 절약됩니까요잘해야 1년에 300~400만원정도 절약됩니다 두분다 엉터리네요,2
9,엑시언트가 볼보보다 브레이크 잘듣고 연비도 잘 나옵니다 세상 편해요... 트라고 타다가 볼보중고 안은분들 더러 보는데 사서 고생하는거에요 엑시새차가 몇배는 낫습니다 엑시언트브레이크 신세계에요 볼보브레이크는 아직 멀었어요 퍼포먼스브레이크,7
10,구루가 먼가여 닉네임인가....,2
11,유럽산 트럭에 비하면 실내건 실외건 성능이건 구데기 ㅡ.ㅡ 몇년째 울궈먹누 ㅡ.ㅡ 트라고 때도 그러더만.,1
12,지알맨 항상 좋은정보 감사드립니다.,2
13,지알맨 통해서 일 열심히 하고 있습니다.이제 좀 적응이 되 가네요ㅎㅎ화물을 하다보니 이제 화물차밖에 눈에 안들어오네요. 좋은정보 너무 감사합니다 아 사고싶네요ㅎㅋ,2
14,국산대형차도 수입차 못지안게 가격이만만치 안네요~~,2
15,영상 잘 봤습니다.^^,3
16,34번째 좋아요 눌렀습니다저도 벌크사료차 원쓰리 운영하고 있는데 언제가 될지 모르지만 차 바꾸게 되면 견적 요청드리겠습니다.,3
17,국산차 가격도 비싸네요 ㅠㅠ,2
18,아.. 몰랐네요. 후축을따로달아야하는군요.,2
19,대형차 (남양주쪽에)기사님 구인은 없으세요?,1
20,오른쪽 계신분  말씀잘하시네요,2
21,"차량가격이15,100만원인데옵션은 기본인가요?옵션 적용 되었으면 어떤항목이 적용 된건가요?",3
22,와 지입차 할부 3~4퍼 처음 본다,2
23,신규사업자는 전액할부 거의힘들겠지요?신용은 상하는  아니고 중 정도,3
24,엑센트엔진은요?,2
25,이러니깐 수입차 사시지 다들,2
26,Belos veículos! Quando serão vendidos no Brasil? Sou de Salvador/Bahia-Brasil e fã do canal.,3
27,리터당 12.08KM면 엄청나다 ㄷㄷ 고배기량 엔진에서 저정도 연비가 나오다니...,1
28,엑시언트 벤츠 만 스카니아는 연비 괜찮은데볼보는 연비가 꽝입니다이유는 볼보 알피엠이 높기 때문 그래서  엔진트러블도 많고요,3
29,오내가좋아하는트럭이다,8
30,탄력이 아니라 타력주행입니다. 용어선정이 잘못됐네오,3
31,"엑시언트 개발 될때 스카니아 하고 공동개발로 알고있었지만, 개발비용만 현대 상용차 한테 도움 준 것으로 알고 있습니다. 출연하신 엑시언트 사장님도 항상 안전운전 하십시오.👍",4
32,30년 전에는 수동10단 미션에 카메라나 후방경보센서 꽝이었죠...ㅋㅋㅋ완전히 고급 승용차 수준의 옵션이네요,3
33,1억4천  충분한 값어치 하는 차 맞네요  이정도면  차안에서  일상 생활 가능한  차,2
34,영상 잘 보고 가겠습니다안전운전 대박 나세요,3
35,기사님 묘하게 웃기시네 ㅋㅋㅋ,3
36,"자동선바이저, 무시동에어컨, 무시동히터 (엑시언트전차종기본), 냉온풍시트, 온장고 냉장고, 어라운드뷰, 블루링크, 리타더브레이크, 오토크루즈, VDC, 어댑티브헤드램프 엑시풀옵이면 충분합니다수입트럭들 풀옵 2억 넘어갑니다 볼보는 리타더가 없습니다",10
37,모기향 실내에서 키고 환기시키고 주무세요.환기 안시키고 주무시면 공기 치사량으로 바뀝니다.독성땜에 ㅠㅠ,5
38,영상 잘 봤습니다.^^,6
39,"저차는 휴대폰으로도 시동 걸 수가 있다네요, 무시동 히터나 무시동 에어컨도 차밖에서 휴대폰으로 미리 켜놀 수 있습니다(카링에서 봤습니다)",9
40,사장님 말투가 느긋하고 재밌네요 ㅋㅋㅋㅋ,7
41,약! 모기~약!에서 빵터짐ㅋㅋㅋㅋㅋㅋㅋㅋ,5
42,실내  리얼리티  쌈빡하네요 핸들은  버스.트럭. 다  똑같네요,6
43,그 예비로 달아놓은 컵홀더 저거 어디서 구하나요?? 저도 엑시언트인데..,2
44,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 할말이없다닠ㅋㅋㅋㅋㅋㅋ 가식없는 컨텐츠 ㅋㅋㅋㅋㅋㅋㅋ,5
45,귀잡트님 시청잘하고있고요부산 강서에 월드전장 리뷰함 해주세요스카니아 에어혼 아래쪽에 장착한다는데요 궁금해서입니다,7
46,탑에서 찌그덕 삐그덕.. 부싱류갈아도 금방 나가던데 스트레스 받네요 ㅠㅠ.. 하,6
47,25톤 카고 신차 가격은 얼마나 될까요,2
48,걍 차를 좋아 하는 전는 대만족 입니다.,3
49,진짜 고생하시면서 사시네 청소해주고 싶다 ㄹㅇ...,5
50,ㅋㅋ 역대급 실내,2
51,속도 90 제한되어있지 않나요??,5
52,엑시언트 냉장고는 온장고 기능도 있어요.,8
53,안녕하세요 귀잡트님 은 이런 실내화내셨겠는데요 ㅎㅎ좋은하루되세요,2
54,차에 머가 많으시네욥 ㅋㅋ 에어컨이 썬루프 구멍으로 한거라 크게 타공할 필요가 없어서 좋은것같아요 ㅋ근데 TPMS경고등 왜그런거죠?,4
55,중앙 대쉬보드 태블릿인가요? 화면이 많이 큰데 정보 좀 주세요^^,6
56,외모는 20대 대학생이신데  말투는 나이지긋하신 어르신인줄알았어요..ㅋㅋ 반전매력?,2
57,사장님 목소리만 들을때는 나이 지긋하신 분인 줄 알았는디..,2
58,20대는 이럴수 있습니다 ㅎㅎㅎ,5
59,12:10 저 멀티컵홀더? 정보 좀 알려주세요,8
60,수동변속 있어요?,2
61,유사장 방송 나온기가?ㅋ 차 안에 장난 아니네ㅋㅋ 전에 봤을때 깔끔하드만ㅋㅋ,5
62,벤츠 순정액정리모콘으로 창문올리고하면 되요 ㅋㅋㅋ,2
63,좀 !  깨끗이  관리  하시오,3
64,프리마도 누워서 창문열고닫고 불키고 다됩니다~,6
65,목소리는 50년 운전한 할밴줄 알았는데....,3
66,화물해서 돈 벌고 싶다 그럼 엑시프로 사세요 연비 잘 나오고 고장 적어요,3
67,사지마세요  에시언트 프로5402 년넘으니  에어세고핸들 돌아가고진동.소음  심함,2
68,엑시언트 프로 2020 년 8 월 출고  절대사지마세요1년 지나면 엔진탱크 소리나고쿠션  딱딱하고 허리나갑니다핸들은 쏠리고 라인닝에서굉음나고  하부에서 잡소리밧데리 방전,3
69,잘 보고 갑니다안운 하세요,3
70,엑시언트 운전석 컵홀드  어떤재품  어떻게 다셨나요저도 컵홀더 달려고 알아보는 중인데,4
71,사장님 제발 담배좀 줄이세요 너무 많이 피시면 빨리 날개달아요,2
72,현대야.. 기사님들 하루 종일 일하는 곳이다.. 인테리어 좀 쌈빡하게 못해주냐.. 좀 제대로 신경써서 좀 해드려라,3
73,부품공급이 않되서 개지랄 떨지않음 수리않됨~~무식하게 현대본사로 차끌고 가야 수리됨~현대모비스 상용부품수급 정말 문제있음~,1
74,다시 새차를 산다면 가격대비 10년 내구성 끄뜩 없는 뉴파워톅(오토가 없는듯) 이나 트라고 다시 사고싶다트라고 타다 엑시언트 사신분이 트라고가 훨 났다네요 ㅋㅋ,4
75,엔진은요 ?우찌되는데요 ?,1
76,실내 리뷰에 절반이 덮여있노ㅋㅋㅋㅋㅋㅋㅋㅋ,3
77,방금 벤츠 뵈었던  사람입니다실례지만 여기 다시 오시나요아님 연락처 부탁드려도 될까요?,2
78,쎈타 많으면 뭐하나 제데로 아는데 없는데,2
79,아이고 동재(제?)야~집에 안가냐? 엑시언트 천정 에어컨(시스템 에아콘) 냄새가 찌린냄새 작렬!,4
80,차좀 치우고 살아라!쓰레기 보소...,2
81,차안이 ㅋㅋㅋㅋ,2
82,저는볼보750운전합니다,5
83,엑시언트 삿다가 개피봄 고장난게 1년다되가는데...못고침,4
84,엑시언트 5년째 운행중입니다.. 절대사지마세요 사람마다 다르긴한데 센터만 몇번가는지모르것음 낼도 하루죙일맡겨야함  맘에부분이 하나도없음 트럭은 국산사는거아닙니다. . 걍 강성 다약함 사이드미러도 약하고 뼈대 부품 난간대 흙받이 카바  .힘약함.잔고장 심함 걍다쓰렉임.. 괜히까는게아니고  사실임 엑시언트 추레라 실차주임  완성도 개쓰렉임..  완성도는 다른외제트럭사셈 스카니아타셈.   . 일반보증3년 엔진보증5년에 혹하고 돈 몇천아끼려다 노이로제걸림  당연히 외제트럭도 고장나겠죠 스카니아도 고장도 고장나고 다만 제말은 현대트럭은 그빈도가 존나심하다는거임,4
85,쓰레기 차도 이차보단 깨끗하겠네,2
86,쥐나오겠네,3
87,정리좀해라!!,1
88,집청소좀 해라,8
89,내차엑시언프로20년식그냥~거르세요ㅋㅋ대형차 현대아직갈길멀다울산현대차납품일이라 코껴서어쩔수없는선택이다만 니미참ㅋㅋ,5
90,완전쓰레기통,2
91,차가 쓰레기장이냐 차가아깝다 차주가 개으른건 안봐도 영화네,1
92,좋은 정보 감사합니다. 좋은일 많이 생기사길 바랍니다. 화이팅!,3
93,영상 잘 봤습니다.할부가 끝나간다니 축하드립니다.고생 많으셨죠?저도 1년 쪼금 안남았는데 고민이네요.다시 시작 할것 같아서요.😁😅😅,3
94,구독 좋아요 눌렀어요. 할부금 꼭 빨리 갚으시고 좋은 분 만나시길 기원합니다.,2
95,열심히 사시네요! 화이팅하셔서 할부 꼭 갚으세요~~~~~ 운전 항상 조심하시구요~~~!!,5
96,정말 유익한 정보입니다  입문 할려는 초보트럭커 님들  새겨들어세요,2
97,도움많이되었습니다 감사해요,3
98,뒤늦게 시청했지만 솔직한 말씀 감사합니다!,4
99,취등록세도 할부로 내시는건가요아니면 따로 현금으로 하신건가요 ㅎㅎ,2
100,친절한 상담 감사합니다ㅋ,4
101,화물차경력 19년차 개인사업자 화물차 6년차 선배로서 하마디 할게요 ^^ 간당간당하게 할부 매꿔나가면 1년차 돌아 올때 보험료 갱신할때와 큰정비를 하거나 사고나면 끝장납니다 조심하세요사고 나면 보험처리 하면대지 거렇게 생각할지 모르지만 본인자차는 어떻게 하기 힘듭니다,4
102,안녕하세요 영상 잘 보고있습니다 ! 제가 엑시언트 카고 14-16년사이로 기변고민중인데요 혹시 엑시언트만에 고질병같은게있을까요?,2
103,힘들게 시작을 하셨군요^^  광주트럭커님 말씀은 모든 준비하시는 분들이 신중하게 생각을 하셔야 될것입니다,3
104,이런거 중고 얼마나 하나요 엑시언트 연식 키로수 대비 중고시세가 궁굼합니다,2
105,힘내세요 ^^,3
106,볼보와 엑시언트 트랙터 구입조언 부탁드립니다 ~~,2
107,평균연비 실화 인가요?!,4
108,화이팅~,2
109,2억이 넘는 차량을 올 현빵 주고 사는 사람이 얼마나 되나요?,2
110,진짜  솔직하시네요  하나더  말씀드리면화물차 시작과 동시에 두분류로 갈라짐니다자뻑해서 화물차팔고 신불되는사람 그냥쭉 화물하는사람 화물차는 자차가않되서자뻑하면 그날로 신불임,2
111,진입장벽이 낮은 직군은 돈이 안 될 수 밖에 없음 무일푼으로 차 뽑아서 300씩 남기면 다 기사하지,4
112,할부끝나는날이면 영원히 다시는 화물차 안탈려고 합니다더할려다 골병들것같애요,2
113,처음화물을 생각할때 이보다좋은 직업이있을까 ..가고싶은데가고 쉬고싶으면 내마음대로쉬고 전국을한바뀌돌아돌아  돈도벌고 직장생활보다 마음편하고 좋겟다...하지만.집나오면 고생이듯이 하루이틀 하는것도아니고 그것도잠깐이고..물론 내돈이있어서 활부가없을시에는 그저월급쟁이다하고 자유롭게일하면 그리나뿐 직업은아니지만.생계형으로 활부넣어가면 그순간부터.돈에노예 차에노예.인생자체가 노예신세가되지요..특히요즘처럼경기가없어서 일도없고 단가도싸서 활부넣기도벅찰때는 그만두고싶어도 안되고...좋은날오기를 기약하지만 꿈에서나..나는230만 활부6년 이제6개월남앗네요....,3
114,덤프는절대  하면안됩니다..똥쟁이들 먹여살리는거임덤프 10년만에  빛만 5천임,5
115,몇톤이에요,2
116,제목은 차량가격.월할부금..내용들어보면..신세한탄..내가왜 이걸들었을까 후회중.,4
117,그래서 인쟈 자리는 잡으셨나요ㅎㅎ,2
118,순익이 어느정도되시나...요,2
119,쉬운말도참어렵게말하내상황이어려운이유를알겠내사업을하려면투자를해야지몸둥아리만있으면되나당연하안되지일이아무리잘되도아되망하는데는다이유가있는거야,2
120,언변진짜떨어지네요 인생한탄중 재생하시려는분들 패스하세요,6
121,쩝....음....어....느릿느릿 아오 속터진다,5
122,아오..답답해 뭔말을.,2
