,comments,likes
0,"우파푸른하늘 구독자 여러분 사랑합니다♡중고차 구하실때 이차 저차 궁금하신 모든 차량 ""요차어때""로 문의주세요 ^^https://youtube.com/channel/UC3IZ0Mgc-gsS9FLyhhMGbNQ",48
1,현대는 뼈대만 만들어서 팔고 차주가 완성시키는 차로 유명했던 기억이.. 그만큼 튜닝이 워낙 잘들어서..미국형들이 엄청 잘 가지고 놀았다고 들었는데,87
2,다른차 리뷰보다 옛날 차 리뷰할때 형 미소가 달라 ㅋㅋㅋㅋ 형 이런컨텐츠 많이 해줘요 ㅎㅎ,1
3,차 진짜 깨끗하게 관리 잘했네요..,8
4,후기형에서 차체강성이 더 좋아지고 실내 내장제도 좋아짐 거기에 하체도 개선됐으니 메기시스라 해도 신쿱이 더 좋음 ㅋㅋ,28
5,"베타엔진 이후 사라져가던 튜닝샵과 튜닝 문화가 젠쿱 덕분에(?) 다시 활발해졌고, 드리프트라는 것을 국산차로 현실에서 가능케 해준 고마운 차 ㅋㅋㅋ 지금은 양카일뿐이지만...그때가 가끔은 그립네용",81
6,2011년식 전기형 끝물 2.0 수동 올순정 타고있습니다 ㅎㅎ 2.0과 3.8은 다른차라고 말할정도로 엔진무게배분에서 오는 차량 움직임이 전혀 다릅니다 2.0은 경쾌하고 3.8은 머슬카 느낌이지요 ㅎㅎ,10
7,지금봐도 질리지않는 디자인이다. 뒷태는 예술이다 뒤휀다 빵빵한것도.,2
8,내 20대 후반을 보낸 멋진 녀석.2009년식 200터보 6년 탔어요.고장한번 안 났던 나한텐 명차.결혼후 팔았지만 지금도 보면 눈이감.,3
9,하루왠종일 얘기할수잇는차라니..너무 좋아요 라이브해서라도 좀 길게 이것저것 시리즈로 여러가지 해주시면 너무 좋을거같아요 정말 재밋는 컨텐츠 잘보고갑니다,1
10,진짜 옆면 뒷 스포일러부터 앞바퀴까지오는 라이 진짜이쁨..,2
11,엔카에 올라온거 봤는데 정말 관리 잘된 차량이네요^^,3
12,아직까지 나오는 차량 중에 유일하게 앞뒤 4P 브레이크 달려 나왔던 차량 지금 봐도 제네시스 쿠페 이쁘네요,29
13,전기형 디자인에 후기형 테일램프 조합이 가장 깔끔하고 좋아보입니다,1
14,후면부는 지금봐도 진짜  디자인 굿입니다,6
15,3.8 타고다니는데 볼때마다 넘 이쁨 ㅎ 국산 스틱 6기통 후륜구동 대체할만한 차도 없기도 하구요,24
16,20살중반때  젠쿱380gtr  가져와서 7년간 데일리카로 탓었던 오너입니다. 지금은 bm으로넘어간상태지만  그때 당시엔  너무나 쫄깃쫄깃한 재미와 펀카였네요   아~너무나 추억돋는 젠쿱        아직도 공도에 가끔 보이면  이쁘기만하네요^^,4
17,지금 봐도 디자인 하나는 진짜 너무 이쁨.. 자세나옴 ㅋㅋ,2
18,35살..많으면 많고 적으면 적은 나이 이지만 40되기전에 마지막으로 스포츠카를 타보고 싶어서 제네시스쿠페 6개월전에 가져왔어요 20대초반때 타던 터뷸런스 보다더 재미있고 운전하는맛이 일반 3000cc급보다 더재미있어요물론 고급유셋팅이라 기름값이 후덜덜 하지만 세컨카로 주말에만 타니 크게는 부담이 없어요,27
19,포르테 쿱은 아직도 도로에서 가끔 보이더라고요. 진짜 디자인이 질리지 않고 좋아 보여요.,1
20,역시 젠쿱은 젠쿱이네요.. 몇년전 로망차 였는데 지금도 타고다니고 싶네요... 오랜만에봐서 너무 좋았습니다 감사합니다!!,11
21,2008년도에 전기모델 380 GT-RW 풀옵 사서 2011년에 득남할때까지 저의 20대후반 30대초반을 함께했던 추억의 차. 추억 돋네요 ㅎㅎㅎ,2
22,"17살에 젠쿱이 출시하고나서 현실 드림카로 갖고싶어 했으나 성인이된 이후 경차로 시작해 다른 차들만 쭉 타다가 30살이 된 지금 신쿱3.8 올순정 가져와 가변배기와 휠,타만해서 타고있는데 개인적으로 만족도가 높네요 여유가되서 더 좋은차 멋진차 타시는분들에겐 그저 낡은 국산쿠페일뿐지만 그런 고급차는 무리인 형편에서 타는차로써는 좋은것 같습니다.국내에 출시된 후륜 쿠페는 젠쿱 뿐인것 같은데 국산차로 고배기량 자연흡기 쿠페는 더는 안나오겠죠..전면 디자인은 구쿱이 신쿱대기 날렵하게 나오고 신쿱은 순둥하죠.. 호불호가 갈지는데 사진이나 영상이 아닌 실제 두대를 같이세워 놓고  보면  제가 보기엔  신쿱 전면 디자인이 차체를 더 커보이게 보여서 마음에 듭니다. 영상 잘 보고 갑니다~",1
23,혹시 가능하시다면 다음에는 2008년에 첫 출시됬던 쏘울도 한번 찍어주실수 있나요??쏘울이 처음 출시됬을땐 인기가 많았던걸로 기억하는데 어쩌다가 우리나라에서만 인기가 없어졌는지 그 스토리가 궁금해서요...ㅎㅎ,12
24,20대때 아무것도 모르고 돈만 모아서 첫차 살려고 했을때 진짜 저기 3.8gt랑 카마로랑 엄청 알아봤었는데.... ㅎㅎ결국 보험료에 놀라 둘 다 사진 못하고 다른 차 사긴 했지만 정말 같고 싶은 차였었음..,6
25,젠쿱38은 하체셋팅 싹해주고..... 젤 재미나게 탔던거는 NA갬성 끝판으로즐길수있는 고압축하이캠셋팅였던거같음......고캠셋팅잘한차는 그당시 e92m3랑 맞다이했죠,18
26,와... 진심 학생때 나의 드림카...♡지금 공도에서봐도 너무너무 이쁜 젠쿱!!!!,6
27,아 1세대가 아닌 건 좀 아쉽네요 진짜 독특한 디자인이었는데 ㅎㅎ,1
28,추억돋는 차네요ㅋㅋㅋ 옛날향수좋네요,3
29,모니터화면으로 이 영상보면서 옆에 엔카띄워 놓고 젠쿱 매물 없나 하고 봤더니영상속 차량 매물이 떡하니 있네요 ㅋㅋㅋ 보자마자 바로 사고 싶은 욕구가 치솟는다,4
30,그랜져 XG 한번만 보여주세요ㅠㅠ제가 타던 XG 차량이 너무그립네요그 차에대한 역사도 더 알고 싶구요정말 괜찮은 차였죠,3
31,젠쿱 보니깐 아직도 생각나는것 20대 초반 홈플러스 알바했엇는데 새로오신 담당이 얼마안되서 젠쿱 (하늘색)을 질러서 월급이 거의다 차에 들어가서 몇개월 유지하다가 팔았던걸로 기억하는데 그 패기가 너무 멋있었다 ㅎㅎ,1
32,아는사람은 다 안다는 제네시스 쿠페 이 차도 튜닝의 끝판왕으로 튜닝 하시는 분들도 많지,1
33,지금봐도 넘넘 이쁘네요 ㅎㅎ,3
34,oh the legendary Genesis Coupe ️️. Need Someone to translate this video asap,1
35,젠쿱 저번주에 처음 타봤는데.. 탈수는 있다는게 놀랍고우파가 나보다 어리다는게 더 놀랍..액면가가..,9
36,진짜 순정 상태 그대로 보기 너무 힘든 차...,4
37,이야 튜닝카가 하도많아서 순정이 어색하고 귀하게보이네요 ㅋㅋ 사패산터널도 드래그 성지였죠 처음생겼을때 민자라 가격비싸서 새벽에는 차가 없었어요 직선길이도 어마어마했고요 심지어 오토바이들도 많이 달렸었죠,2
38,언제나 현대는 경쟁차에 비해 가성비 충실하면서 정비하기좋은 국산차,1
39,국내에는 2도어 쿠페가 인기가 없나봐요.. 정신적 후속작인 g70의 페이스리프트된 모습을 봐서라도 만족감을 느껴야죠,1
40,느낌 제대로 살려서 신쿱말고 구쿱한번 해주세요그리고 알페온도 한번 꼭 해주세요,2
41,이번영상에서 제일 놀란 건 우파형 나이였다...형 생각보다 나랑 나이차이가 별로 안나네 ㅜㅜ,4
42,"영상 잘 보고 있습니다^^웃는 상이고, 호감형(?)이라 몰랐는데..만 34세는 다소 충격적인...ㅎㅎ",2
43,신이수 타고 있는데 정말 부러운게 3.8 NA 사운드는 진짜..ㅜㅜ 브레이크는 진짜 공감..,3
44,젠쿱도 G70 G80 중간 사이즈로M이나 AMG 가격 부담 덜어주는 포지션 잡으면인기 많을거 같은데 ㅠ,2
45,곧 제네시스 새로운 영상도 기대해주세요~,41
46,젠쿱보니까 또 추억의 투스카니 엘리사도 보고싶네요ㅋㅋ,10
47,한참 3.8은 스틱보다 오토가 빠르다는 이야기도 있었는데 우파님 오토 차량 감사합니다!!,2
48,진짜 후기형 젠쿱은  디자인 좀만 다듬으면 지금나와도 이쁜차같음,3
49,신쿱38 수동은 진짜 명품이다,13
50,도로에서 내 옆에있으면 정말 불안한 차이기는 한데 동시에 한번 타보고싶은차..,1
51,와 잘 보고가요.순정 너무 보고싶었네요.도로에서는 전부 다 튜닝카라,1
52,노란색 젠쿱 3.8에 콜벳 6.2엔진 스왑해서 타고 다니시는 여성 차주분도 계시죠~^^젠쿱은 진짜 명차입니다...,3
53,와 진짜 존나 탐난다 갈색 시트에 올순정 신쿱 진짜 찾기 드문데 ㅜㅜ,1
54,우파님 bmw  e60시리즈도 꼭 해주세요!!ㅜㅜ,2
55,진짜 시대를 잘못탄...젠쿱...지금 나왔다면 어땠을까ㅠㅠ 너무 마음 아프다,7
56,르노삼성 SM7 해주세요!!!!!!!!!! 한때 그랜저 오피러스를 이길 젊은 갬성의 차였는데 왜 2세대만에 망했는지 궁금해요!!!!민트색 원조는 르삼이죠ㅋㅋㅋㅋㅋ,2
57,욕 먹는 거에 비하면 꽤 좋은 차.. ㅋㅋㅋ,2
58,젠쿱은 순정그대로인 차를 찾는게 어려운 차..,10
59,잘~~타고 다녔었지요ㅎㅎㅎ,1
60,형 미소가 ㅎㅎㅎ 끊이지 않네여ㅠ,2
61,그릴이랑 범퍼랑 라이트 디자인이 완젼 쓰레기 수준인데차체 실루엣이나 전체 형태 캐릭터라인등 큰그림은 매우 멋지죠,1
62,아는 형님은 포르쉐718 박스터 GTS 4.0 갖고계시면서도 한번씩 젠쿱 전기형 타고다니십니다 ㅋㅋㅋ,4
63,뉴에쿠스에 같은 3.8엔진 사용해도 무리없이 잘나갔는데 젠쿱은 얼마나 날라다닐까..,5
64,와...어릴때 정말 드림카였는데....,2
65,우파님 현대 베르나 신청할게요 ㅠㅠ 평소에 운전면허증 차량으로도 쓰인 비운에 차 리뷰해주세요,2
66,운전하다보면 그 차가 그 차인데 이런 개성있는 차 보면 좋더라,1
67,30대후반 40대초반이 20대의 양카 넘버1형인줄 알았던...우파가 친구였다...,4
68,튜닝 넘나 잼있었음 엔진도 함 깨먹고,1
69,아 옛날생각 나네요 2.0 전기형 중고 사서 터보 업글하고 재밌게 잘 탔는데 아이가 생기는 바람에...ㅠ,1
70,3.8 전기형이 305마력이고.. 후기형GDI 엔진이 350마력입니다. 고급유면 370마력이고요..ㅎㅎ,2
71,2011년 20대 후반에 첫차로 젠쿱 고민하다가 비싸고 보험도 쎄고.... 해서 대리만족으로 포르테쿱을 구매했었죠... 허나 10년 째 타던해 나이도쫌 있어서 보험도 그리 안비싸고 중고도 신쿱 380 10만 안댄거 1500정도면 사길래 신쿱 380 배기만 된거 중고로 업어와 2년 째 타고있는데 아직도 내차보면 혼자 자기만족 뿌듯합니다. 저도 신쿱 흰색 380 GTR 이여서 같은 차종리뷰해주시니 너무 좋네요~,1
72,와 진짜 귀한차..,1
73,도이치지나시는거 보이는거보니까 수원이군요...우파님 영접하고싶다,1
74,우파님 k3쿱도한번해주세요^^,2
75,조금만 작게 만들었어도 훨씬더 좋았을...차....저도 새차로 3대 나 재구매 해서 탔었는데.....재미는 있어요....,1
76,2013년 2015년 휘발유값 2000원을 웃돌때  왕복 120키로미터 거리를 제네시스 쿠페로 출퇴근할때가 생각나네요 돈벌어서 기름값으로 다썻다는..,1
77,수동이였다면 더 좋았을텐데 구쿱보다 신쿱이 클런치도 더 좋죠,1
78,젠쿱광고 하필 군대에서 접했는데 인생은짧다 강한문구 뭔가 와닿는느낌!!!!,6
79,재미있게 타고 있습니다 ㅎ,1
80,"10""14""우파님 표현이 시원합니다,항상 응원합니다^~^",1
81,중고시장에 순정인 차를 잘 찾아볼수없는 유일한 차이 가격에 후륜으로 이렇게 탈만한차가 없죠 ㅎㅎ,2
