,comments,likes
0,"안녕하세요~~카링TV애청자 입니다.다양한 차종 리뷰하시는거 잘 보고 있으며 많은 도움도 됐네요.저는 타타대우 2007년 11월식 노부스 4.5톤 영업용 화물 차량을운전하는 차주입니다.제 차량이 앨리슨 오토 밋션이 탑재되어 있는 차량입니다.2020년 5월 14일현재 차량 주행거리는 969350km(에~~휴 좀 있으면 1,000,000km가 눈앞이네)를 주행하고 있으며,연비는 지금 현재 출고 되는 차량들은 연비 개선이 많이 좋아져서 잘 나온다고 하는데 2007년 당시에는 이 정도면 아주 잘 나온거 였네요. 처음 새차였을때는정속(80) 주행시 4.5km/h고속(100) 주행시 4km/h정도 나왔으며,13년이 지난 지금 현재 주행 연비는정속(80)주행시 4~4.2km/h,고속(100) 주행시 3.8~ 4km/h정도 나옵니다.영상에서도 말씀하셨듯이,가장 큰 장점은 편리함이죠.더 말해 뭐하겠어요.그리고 변속시에 덜컹거리거나 하는 증상도 없고, 제 승용차보다 더 부드럽게 변속이 되는거 같네요.자동변속기 중에서도앨리슨 변속기는정말 제가 보증할 정도로좋은 변속기 입니다.제가 나중에 차량을 교체하더라도 앨리슨 변속기로 선택을 할겁니다.단점은 A/S시 타타대우 하고,기술 제휴가 되지 않아서,밋션 에러 발생시에 서로 책임을 미룬다는거, 차후 개선을 한다고는 하는데 이 부분이 정말 힘들었네요.미션 부분에 에러가 발생하면 화성 서비스까지 올라가서 수리를 하곤 했는데, 막상 가서 보면, 타타대우에서 판매하는 밋션 배선이 삭아서 발생하는 하자가 많았습니다.제가 지금까지 밋션 하자로 수리를 6차례 정도 받았는데, 그중 밋션 배선(타타대우 부품)에러가 4차례 였습니다. 두차례는 아렌스 모터라고운전자가 변속기 조작을 하면 자동으로 기어를 넣었다 뺐다가 하는 기능을 하는 모터인데, 이 모터 또한 타타대우에서 판매하는 부품입니다.타타대우 정말 신임을 얻지 못하는 회사임은 틀림이 없네요.오토 밋션 고민하시는 분들 참고하셨으면 합니다.",32
1,이번 현대자동차 마이티는 진짜 제 취향의 트럭입니다.각진 디자인을 제가 아주 좋아하기때문에 이번 마이티는 진짜 제 취향입니다.일본 이스즈사의 엘프를 벤치마킹해서 새롭게 나온것같은데 솔직히 이스즈사의 엘프도 제 취향이니 이번 마이티도 제 취향일수밖에 없죠.ㅎㅎ진짜 네모반듯 같진 디자인! 대박입니다.,7
2,운전병 시절 신형 마이티를 운전했을때차가 힘이 없어서언덕길에서 2단에서 3단 변속이너무 힘들었는데요지금이라도 자동변속기가 생겨서 다행이라고 생각합니다~,2
3,현대가 준중형에서 수동을 고집한 이유는 과적을 기본으로 깔고가는 한국 특성상 자동 내구성이 얼마나 버텨줄까였는데... 3년 보증이면 살짝 미덥기는 합니다. 보증이 있어도 일단 입고되면 공쳐야되니 트럭은 늘 경제성보다 신뢰성이 더 중요하죠. 지켜보겠습니다.,8
4,지금 군대에서 2.5톤 더블캡 스틱을 타고 있는데 오토차를 보니까 부럽네요.오르막길도 많은데 긴장하면서 다니고 연비를 보니 제가 타는 것 보다 역시 좋네요,13
5,이스즈 엘프를 의식해서 자동변속기가 나온 것치곤 시기가 상당히 늦는 것 같고... 불매운동 여파가 엘프에도 상당수 작용했다면 이때가 기회다 싶어 이전에 자동변속기 모델이 있었던 엘프의 지분을 가져오려는 것으로 볼 수 있겠네요. 엘프 나온다고 해놓고 나서 정작 엘프를 많이 보진 못했어서 좀 아쉬웠었네요.,3
6,드디어 마이티도 자동변속기 차량이 나왔군요~ 영상 잘보고 갑니다 ㅎㅎ,4
7,군대에서 스틱 마이티를 운전하고 다녀서 정이 많은 트럭인데 거기에 오토미션이라니 대단스~~,4
8,프리마 5톤 앨리슨오토 타고 있는데 진짜 편하고 변속 충격은 거의 없습니다~힘이나 연비도 잘나오고 좋습니다,9
9,트럭에 오토가 나오는건 생각치도 못했는데 신기합니다 ㄷㄷ. 그래도 아직 대형은 이르지 않을까 싶습니다...,9
10,트럭도 자동으로 나오면 편하게 운전하겠네요 ㅎㅎ,6
11,"이마이티 09년7월식 54만키로 운행중입니다 솔직히 우리나라는 적재량이 문제인데 생수2리터 3파렛트 실고다녀도 수동도 힘이 딸리는데 오토는 아직까진 좀 지켜봐야할거같습니다  솔직히 오토미션보단 승차감,브레이크 개선이 젤 시급합니다",2
12,대표님 라이브방송 기다리고있습니다ㅎ 항상좋은방송감사합니다! 하시는사업 번창하시고 늘건강하세요,5
13,진작에 나왔을수 있었을텐데 ㅋㅋ 1톤차.5톤차 25톤 오토 도 17년전부터 있었는데. 이제야 생산할수 있었던 것 은 준중형 트럭시장에  타타대우2.5톤 만3.5톤 엘프.이베코 나 출시되면서 경쟁에 밀려서 수요가 작어 단종될까봐 오토미션으로 제작한것임 ㅋ,24
14,오토뿐만 아니라 에어브레이크도 들어갔으면 좋을거 같네요 안그래도 타타에서 곧 출시할 경쟁모델도 에어 달고 나온다던데,3
15,사실 미니버스인 카운티에는 제 기억에 유로6부터 자동변속기가 적용되었는데 그에 비하면 사양이 비슷한 마이티는 늦은 감이 있죠.,10
16,군에서 2.5톤 거의 매일 장난감수준으로 탓는데  크.. 오토라니.. 군에도 보급해줬으면 ㅋㅋ,2
17,마이티에 오토가있다는걸 영상보고알았네요! 유익한 정보 감사합니다!,7
18,마이티 현대 상용차 오토변속기 흥미롭네요^-^ 영상 잘보았습니다 대표님 ~~ 🙌👍👍,6
19,이번에 장만했습니다..DPF 자동배출기능 전자식이라 새로운기능이 많아 공부좀했습니다. 크르주 컨트롤 까지 칭찬합니다.가격은 사악합니다.ㅎㅎ,4
20,프리마 앨리슨과zf오토 둘다 운전해본사람으로써 연비는 zf가조으며 힘도Zf미션이 좋습니다  마이티에  앨리슨은 잘모르겠으나 수동운전하시던분들은  답답함을 느낄수도있습니다  연비도  과연잘나올지 궁금하구요 프리마기준 zf오토가 1키로 정도잘나오더군요 zf미션이면  강춘데  앨리슨이라약간 거시기하네요 실운행 후기였고  마이티는  달랐음 하는  생각도 드네요,4
21,요소수 게이지 표시 게기판에도  있었음 좋겠네요,7
22,준중형트럭도 이제 오토메틱 시대에 들어섰군요.,27
23,마이티도 드디어 오토가 나왔네요!  생계와 주거를 할 캠핑 트럭으로 생각하고 있는데,6
24,기어봉이 옛날 그레이스 오토기어봉 느낌이네..현대 신차는 항상 뒤끝이 안닦고 나온 기분이 드네요..딱하고 기분좋게 해줄 순 없나..,15
25,삼발이 디스크 교환 안해도 된다는게 제일 메리트가 있네요 ㅎㅎ,11
26,언제쯤 포터 이상급 트럭에서 오토메틱이 나올까? 했는데 드디어 나왔네요. 차주분들 교체 시점 오신분들에게는 매우 희소식이겠네요... 내용만 들어봐도 메리트가 크네요,6
27,요즘 군부대도 카운티 15인승 리무진 많이 주문하죠 카운티에도 적용되는 오토미션입니다 기어가 똑같네요,2
28,"근데 마이티 스틱이 굉장히 타기가 쉬워서 웬만하면 경사로출발,까먹고 기어 들어가있는데 클러치를 팍 때버리지 않는 이상 시동을 꺼먹을 일이 없다는것ㅋㅋ",5
