,comments,likes
0,국내 그 어떤 자동차 리뷰 매체에서도 시도하지 않았던 리뷰이기에 좀 더 특별하지 않았나 생각됩니다. 매우 흥미로운 리뷰를 해주신 것에 정말로 감사드립니다.앞으로도 이런 차별화된 모습들 모터그래프만의 정체성으로 쭉 이여저나가길 응원하겠습니다!!,1
1,신선한 시승기 잘봤습니다 평소에 혼자 그래도 포터가 가장 많이 팔리는 차종인데 시승한번해줬으면 좋겠다고 많이생각했는데 정말 시승해주셨네요~ 포터운전자들 뿐만아니라 다른 운전자들 한테도 도움이되는영상같아요,3
2,내장재가 부실한건 포터의 가격을 지키기 위해서 입니다 그리고 앤진룸 열때 고정하는 끈이 있습니다 못보신듯 하네요,57
3,고가의 차량들보단 실생활의 일반인들이 타는 차량도 리뷰를 보는 재미가 크네요! 앞으로도 이런 리뷰 많이 기대하겠습니다~~,1
4,포터.. 알고보면 승용차 보다 훨씬 오래 운전하고 훨씬 극한 상황에서 견뎌내야 하는 차량인데..,27
5,그리고 실제로 충돌 안전 테스트를 하면 포터의 단단함(?!)으로 커버하더라고요....대단한 차량이죠,1
6,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ신선해서 한참웃었는데 이런차량까지 봐주시는게 정말 진짜 자동차를 아는거죠ㅋㅋ이런 차량까지 신경써서 보여주시다니 감사합니다 +_+,1
7,대단히 신선한 리뷰였습니다.무척 재미있게 보았고 배울점이 많은 리뷰인것 같네요.,1
8,포터는 빈차면 위험합니다. 후륜에 짐이 어느정도 있어야 무게 서스 조향 모든게 안정감이 생깁니다. 혹시 다음에는 500킬로 정도 싣고 시승하시면 좋겠네요.,37
9,와 포터도 시승기를 대단합니다!! 진짜 자동차 매거진이네요,1
10,저희집 포터는 항상 3톤정도 과적시켜서 타고 다니는데도 출력이 남아도는 느낌입니다. 제 생각에는 적재함을 냉동탑차 이런걸로 개조하는 경우도 많으니까 넉넉하게 나오는거 같네요.,1
11,21:00 a필라로 인해 생기는 사각지대 너무 공감되네요.. 얼마전 봉고3로 도로주행시험 보던 중 보행섬에 있던 보행자가 a필러에 가려져서 못보고 서행하다가 시험관이 대신 세워줬어요ㅠㅜ  그 이후로는 a필러의 위험성을 깨닫고 보행자통행공간 근처에선 고개를 쭉 앞으로 빼서 주행하려고합니다,1
12,사업상 포터만 15년 운행중인데 서민들에겐정말 좋은차입니다  김한용기자님 귀여운리뷰 잘보고갑니다,1
13,와! 모터그래프에서 가장 신선한 리뷰였습니다. 포터의 세계가 신선하네요. ㅎㅎ 앞으로도 재밌는 리뷰 기대할게요.,1
