,comments,likes
0,실내 디자인이 20년전 감성..ㄷㄷ,3
1,"중국서 16년도 출시버젼 베젤 타고 다니는 사람으로 리뷰 남긴다면, 여기서는 베젤, hr-v、cr-v로 나뉘구요. 베젤과 에이치알브이만 뒷자석 문 손잡이가 위에 달렸고 씨알브이는 뒷문 손잡이가 다른 차량들과 같이 옆에 달렸고 뒷모양? 엉덩이 부분이 좀 다릅니다. 차 모양이 이뻐서 샀고 인생 첫차라 잘 모르고 샀는데 나름 긴축형 suv지만 배기량이1.5다 보니까 가속시에 페달 급하게 밟으면 차가 엄청나게 나 힘들다고!!!하면서 웅웅 거립니다.  그리고 저는 옵션 낮은거로 사서 안쪽 시트가 전부 천으로 되어있었습니다. 여름에 엉덩이에 땀이 많이 나다보니 좌석 천에 땀 자국이 남아서 정비소 가서 사비로 인조가죽으로 교체했습니다. 공간활용이 정말로 좋습니다. 차 트렁크 용량도 커서 자전거도 들어가구요.   그리고 엄청난 꿀은 기름을 너무너무너무 적게 먹습니다 . 출퇴근용으로 사용하는데 한달에 풀로 두번 넣구요. 어디 좀 놀라 가면 달에 세번 넣는 정도?  그리고 뭐가 있나... 아 usb충전선 연결하는 부분이 앞쪽 밑에 달려있어서 연결하기 좀 불편하구요. 뒷자석 중간에도 하나 있는데 거기는 연결해도 충전이 엄청 느리더라구요. 아무튼 궁금한거 답글로 남겨주시면 알려드릴께요",8
2,정성스럽게 준비하신 영상 잘봤습니다승승장구 기원할께요!,4
3,"잘 적은 시승기네요.1)독일 중형 세단처럼 노면을 꽉붙잡고 , 계속 밀어붙이는 펀치력은 없습니다. 소형suv라서.2)네이버 hrv 카페의 실제  오너들의 만족도는  상당히 높은  편입니다3)2열공간은 예술입니다남자성인이 앉아도 좁지않습니다.동급최강입니다4)suv이긴 한데 출렁거림이 매우 적고 ,타고 내리기 편합니다5)젤,맘에 드는건 코너링입니다.  중형세단급 이상의 코너링입니다.hrv를 느껴볼려면 코너링입니다유튜브의 소형suv  장애물 핸들링  비교동영상들을 보세요. ㅡ무스 테스트 (moose test). 회피기동테스트https://www.youtube.com/watch?v=juXa1XGt7q4https://youtu.be/9zY8mjktndo",2
4,이 차 개인적으로 좋아하는데... 참...혼다센싱 탑제되면 사야겠네요,3
5,"미국에서 타고있는데연비 짱 입니다.여행다니는데 승차감도아주 좋습니다,",5
6,"구형 모델 몰고있는데 출퇴근용으로 괜찮은차에요 영상에 설명해주신 것처럼 공간활용성, 연비, 핸들링도 좋고 코너도 잘돕니다 근데 왜 신형도 전구를 누런거 달아줬나 모르겠네요 구형은 실내에 쌈마이 천조각으로 마감해놨는데 신형은 그나마 가죽마감이 되어있군요",6
7,관심있던 차량인데 잘봤습니다.가성비 있나요??국내동급 차량과 비교해서,3
8,첨 댓글 남겨요~민철기 기자님  늘 넘 멋져요여자기자님은 요정같네요~^^구독할게요,7
9, 1열 아래 연료탱크 있으면 위험성 있지 않을까요 !!,2
10,진짜 사고싶은 차 1순위,6
11,정새미 기자님 덕분에 보는 재미가 업업! ,5
12,리뷰계의 여신님,11
13,엔진소음은 어느정도인가요?,1
14,라이트가 여전히 벌브타입인가요? 아쉬습니다...,3
15,Hr-v 2세대계열은 이모델이 가장 멋진것 같아요https://youtu.be/Uar3hrmZcXQ,2
16,태국에사는 현재 여자친구가타고있는데 거기서는 이차가 5천만원정도 한다고하더라구요ㄷ,7
17,"this car sells like peanuts in my country, indonesia",1
18,42m 잘 멈춘다고?,2
19,확실히 여성분이나오시니 화사해지네요 ㅋㅋ영상 잘봤습니다~,5
20,현재.외국거주 이차타고있습니다.정말 솔직히.. 이차타고나서 저는 한국차가 정말 ...이제는 잘만드는구나.. 하는걸 다시한번느꼈습니다.같은가격대의 한국차 타다가.. 외국나와서 어쩔수없이 ( 한국차가 너무비싸요) 혼다 hrv로 갔는데.. 핸들링. 승차감. 내부디자인 등등 모든면에서 한국차가 훨씬 낫다는느낌입니다.물론 개인적인 평가이지만.. 외국사람들도 일본차가 워낙에.. 고장없다. 뭐 그런이미지가있어서 대중적으로 많이들구입하긴하는데.. 한국차를 타본외국인이라면.. 한국차에 훨씬 점수를 주지않을까싶습니다.( 하지민 제가사는 곳에선 한국차가 아주 비싸요...ㅜ.ㅜ),6
21,오우 저 이쁜언니는 누굴까요? 가대되네요,10
22,10년전 차 인테리어냐;;;;,2
23,실내 저 구린 디자인 무엇......... 일본차는 확실히 실내를 너무 막만듬.,5
24,시국이고나발이고 일본차는 스쿠터나 자동차나  실망시키지않음일본브랜드는 신뢰!믿음 임꼭안타본인간들이  시국 이어떻다고 참나  정치적인 정부놈들의 반일선동에현혹되는개돼지가되지맙시다  이게다 우리나라가외교못해서 벌어진일입니다,7
25,지금이 어느 때인데 꼭 일본 차 선전인가?...국민 정서 좀 해아립시다,3
26,아!! 진짜 리뷰 찰지게 잘하시내요!! 앞으로 많은 실생활 차량 위주로 부탁드려요~~ㅎ지프 레니게이드 한번 부탁드립니다.,1
27,hrv 랑 I30 1.4터보  랑 비교 하면 어때요?연비주행성능,1
28,잘봤습니다.SUV 구매 고려증인데 많은 고민을 주네요18년형 쏘렌토나 싼타페 푸조 5008 이랑 비교 하면주행성능은 어때요??연비는 맘에 드네요 ㅎㅎ,3
29,영상 잘보고있습니다! 감사합니다,1
30,푸조208 타봐야 실내소음을 ㅋㅋㅋㅋ,1
31,재미있게 잘 봤습니다~,1
32,한상기 선임기자님 항상잘보고 있습니다. 수고하세요. 감사합니다.,1
33,"처음 보는 차네요. ㅎㅎ엔진 소음이 동영상에서도 그리 좋아 보이진 않고, 인테리어 디자인도 좀 실망스럽네요. 잘봤습니다~ 추천~",1
34,요세 나오는 차들 보면 인테리어 각종 장치들을 보면 휘향찬란한 화려 하네요 운전중 잗동 할때 위험 하겠습니다,1
35,"저도 시승해봤는데요, 이 가격이면 선택할 수 있는 차가 너무 많아서ㅎㅎ",1
36,보고싶었던 차인데 감사합니다.,1
37,관심있던 차종 잘 보았습니다^^,1
38,잘보았습니다^^재규어 XF도 해주세요^^,1
39,"호주거주중인데 HR-V 한국수입차량은 정말 엉망이네요. 영상에 나오는 한등급만 수입된다면 정말 비싸게 수입되었네요.호주에서 판매하는 3등급중에 2600만원대의 최 하급 인거 같습니다. 헤드램프도 DRL 이 아니고 할로겐이네요ㄷㄷㄷ. 휠도 최 저급 휠 장착에 운전석 윈도우만 전동식이구 가죽시트도 아니네요. 호주 중국 미국 일본에선 3등급으로 나뉘어 팔고 최상급은 전체 가죽시트에 문쪽까지 다 가죽, DRL, 휠도 검은색 투톤, 조수석 사이드 카메라 등등 내부와 외부가 아~주 이쁘게 잘 나온 차량입니다. 정말 아쉽네요...http://www.honda.com.au/cars/models/hr-v.html 호주 혼다 홈피입니다. 비교해보세요~",9
40,"일본차 실내 인테리어를 매우 좋아하는데이 차는 국산차, 미국차보다도 못한 것 같네요..",2
41,전면부 휀다와 범퍼가 있는 부분의 단차가 확연히 차이가 나고.. 범퍼색상도 잘 못맞춘듯 합니다.;;  명색이 혼다인데. ^^;;    영상 감사합니다.,1
42,이거 보고 자야징 ㅎㅎ 잘보겠습니다 굿밤이요,1
43,연료통이 앞좌석 밑에 깔려 있어서 무게중심이 낮아진거 같네요,1
44,"코나 가솔린대비  오토홀드 있고, 2열폴딩시  평탄화 공간의 높이는 비교가 안되게 좋네요.     현대기아 B세그 차종들도  연료통 옮기고   2열 폴딩구조 다시 만들어야할듯",2
45,혼다가 한국 소비자들을 호구로 알고 있나 봅니다. ㅎㅎㅎ영상 잘 봤습니다. ^^,1
46,Looks good for once.,1
47,한상기님 탑기어 8월호 글 잘봤습니다.,1
48,아아아아아아ㅏㅇ으ㅡ으아으아아아아아아앙아아아아아아 왜시승차가없는거야ㅠ,2
49,이번 HRV는 하위트림이 온것 같네요 외국영상보니깐 led램프에 비싼옵션도 많이 들어갔더라구요ㅠㅠ,1
50,much more reliable than x1,1
51,그랜드스타렉스시승차없죠?,1
52,오늘 이거 구입했는데요 운동성능은 좋더라구요 근데 비싸요 님들은 사지마세요,1
53,아져씨 몇살이세요?,1
54,3190만원 짜리 맞나요... ㅎㅎ,2
55,필리핀 hrv보다 약간 덜들어간거같내요 제기느끼기엔,1
56,가격이 제일 문제인것 같네요,1
57,기자님의  CR V 시승기는 없네요,1
58,2016년에 저런 싼마이 소재를 더덕더덕 쳐 바르고 이 가격에..뒷자리 특이하게 접히는거 외엔 국산보다 더 낫다고 쉴드 쳐줄것도 없고..거기다 멕시코 생산 수입이라고 하던것 같던데요?그냥 팔 생각이 없는것 같네요..기자님도 어떻게든 좋은점을 찾아주려고 하는데..이가격에 이패키징으로 참 답 없네요...혼다코리아가 한국을 어떻게 보는건지...,2
59,오랜만에 업로드네요,1
60,"1:30 무렵에 ""할머니~할머니~""부르는 여자 목소리 환청인 줄 알고 다시 돌려봤네요...;;;요새 기가 허해서..",6
61,갑작스런 에어컨냉매 ㅋㅋ...,1
62,아~네,1
63,망설여지는차이겠어요,1
64,잘볼겠습니다,1
65,네....,1
66,중고차라도...,1
67,깡통인가요? 해외 리뷰보면 휠이나 내부 가죽도 흰색 투톤으로 좀더 고급 스럽던데,1
68,만약 3000만원이 있으면 걍 투싼을 사죠.....내부디자인이 별로인거 같아요,1
69,할머니 할머니 ㅋㅋ,2
70,한상기님은기자애요?,1
71,일본차는 흥미없고 안산다,1
72,엔진자체 내구성은 너무 좋음. 기술의 혼다라고 하는 만큼. 일본차는 오래타기에 좋음.,22
73,옵션에 목숨거는 사람한테는 최악의 차고기본기 내구성 신뢰성만 있음 된다고 생각하는사람에게는 딱 맞는 차,19
74,같은차종 구입한 40대 아줌마예요 어차피 옵션많아봤자 쓰는거만 쓰는데 저는 아이픽업용이고 가끔 스키장 데리고 다니는 차량인데 느끼는점이 딱 일치되는 리뷰입니다.국산차는 너무 디자인이 금방바뀌어서 금방 구식느낌이나서 전 혼다crv선택했어요 프로모션으로 엔진오일 평생무료라서 넘좋네요 안전운행하세요,5
75,"2017년식 차값 4천.차안이 넓고, 승차감 좋고 코너링 좋아요.",4
76,냉간시 소음 말씀하셨는데 cvt미션 최대 단점이 냉간시에 열이 일정온도로 올라오기 전까지 아무리 밟아도 rpm만 올라가면서 소음은 커지는데 속도는 안납니다.. 설계가 그렇게 되었다고 하네요,2
77,"와 앞,뒤 짜부됬는데 3분이 다 걸어나와.. 차량 구매에 가장 큰 부분을 차지해야될 이유인데, 옵션이다 뭐다.. 곁가지를 더 크게 생각하는 사람들 때문에 묻혀버린 차량이네요 ㅠㅠ",4
78,CR V가 고장 안나기로 유명하죠. 내구성은 인정합니다,10
79,기본에 충실한 차,4
80,미국에서 잘 팔리는 이유가 수출용이라도 각 나라마다 옵션 차이가 날수도 있어서 그럴수도 있어요,3
81,판매량 차이죠. 기아 스토닉 한국선 단종인데 유럽에선 트림다양하고 ㅡ 미국서 잘나가는 혼다 미국에선 옵션도 당연히 다양한거죠. 한국시장은 포기한듯,1
82,2008년식 cr-v 타는데 최신식에도 4륜 모델 있으면 다음 차로도 cr-v 타고 싶을 정도로 차 좋아요 크게 고장 났던 부분도 없고 잔고장 1도 없어요.,16
83,대만에서 많이 탔는데 우버 부르면 10대 중에 8대가 이차임,5
84,"미국아닌 한국에선 살 이유가 없네요,",20
85,차 좋아하는 사람한테 이런 차 정말 위험합니다.  고장도 안나고 유지비도 낮고 인건비 비싸고 차량관리하기 어려운 미국에서 이런 차가 없습니다. 한번 사면 바꿀 이유가 없어요.... 미국에서 가장 많이 보이는 SUV 중에 하나고 세부 옵션 고르기전에 선택 가능한 트림만 10개가 넘습니다. 물론 시작 가격 자체가 2천만원 초반이기도 하구요.,21
86,혼다는 가격이좀세다는거말고는 다좋지 가격만비슷하다면 현기아보다 훨씬좋은차지,5
87,대박 3자리 일본차 구매하시는 용기 인정합니다! 차주분 대단하신듯! “역사를 잊은 민족에게 미래는 없다”,40
88,"내구성과 연비 좋은 crv와 항상 안전운전 하시고 좋은 추억 많이 만드시기를 바라겠습니다! ㅎㅎ (p.s 차주분에게 자동차 매니아분들께 해가 되는 댓글, 정치 댓글은 자제 부탁드립니다!",19
89,차주분이 말씀을 잘하시네요ㅎㅎ 영상 잘봤습니다! 차 예쁘네요~,6
90,5.5세대 가솔린은 없는게 많네요;; 4.5세대 가솔린 유저인데 옵션들 거의 다 있고 상시사륜인데 몰랐던 사실이네요,12
91,와.. 옵션은 진짜 심하네. 대체 들어있는 옵션 자체가 없는것 같은데 ㅎㅎ,1
92,CRV를 봤는데알티마 프리우스 캠리가 사고 싶어졌습니다 ㅎㅎ,3
93,꺅~~~~~~~차가 너무 이뻐요 ️,13
94,왜안팔리는지 모르겠다고 하는데 본인이 단점으로 발언했던거 때문에 안팔리는 거임....,24
95,닛산 알티마가 그렇게 안전한차는 아니에요... 강성으로 따지자면 볼보나 독일차가 좋습니다.일본차는 강성이 아닌 내구성으로 사는 겁니다,8
96,2019년 오너입니다.  풀플랫 안되고 한국에선 메리트 없는 차입니다.  미국에선 할인도 받고 0.9프로 60개월이라 살만한데 한국에서 안 팔리는데는 이유가 있죠.  이젠 한국 차 비해 옵션 딸리고 네비화질 7인치 그저 그렇고 신형 스포티지가 상품성 휠 좋네요. 미국에서 살만하지 한국에서 이 가격에 이차를.....,16
97,"차주님이 굉장히 점잖고 말도 조리있게 잘 하시네요, 인품이 훌륭하실것 같아요",7
98,라브4 타는 사람으로서 혼다 CR-V 도 좋은 차입니다 ^^ 친구 차 타봤는데 라브4와 비슷하게 뒷자리 정말 편하더라구요 ~^^,9
99,미국에선 진짜 초대박 차인데,18
100,타고계신 차 트림이 1.5 가솔린 ex-l이라 옵션 빠진게 많아요 20년식 1.5 가솔린 투어링은 옵션 다 있습니다,6
101,그니까...소렌토 가격에 옵션은 깡통이고...트렁크는 작고...미션은cvt...디자인은...외장 내장와우...음...왜 안팔릴까...일본감성인데...,21
102,궁금했던 차량이라 반갑네요ㅎㅎㅎ,8
