,comments,likes
0,재밌게 잘 봤습니다.  1리터 버전이 120마력정도 라고 하던데 가격만 너무 놓지 않다면 660의 가속 및 재가속의 아쉬운점을 상쇄할 듯 보여 기대가 되는군요,6
1,"어제 세차하다가 처음으로 실물 봤네요!! 그레이 컬러였는데 정말 작고 눈에 띄더군요!! ㅎㅎㅎ 궁금해서 시승기 찾아보다가 오토뷰 시승기가 있어서 잘 봤습니다.. ㅎㅎ 최대가속이 130일줄이야..  그래도 일상 영역에서는 괜찮을듯 싶네요. ㅎ 참, 실물이 훨씬 이뻐용~^^(전 미니 오너..)",5
2,경차의 천국답게 정말 다양한 컨셉의  경차가 있네요 s660 너무 매력적이네요,23
3,정말 보기힘든차량 리뷰해주셔서.너무 감사합니다.꼭 한번타보고싶은.차내요^^,5
4,작고 멋있네요. 좀 시끄러우면 어때요. 드라이빙 자체를 즐기는 찬데...핸들만 좌핸들 있었다면 출퇴근용으로 하나 있으면 좋겠네요.,1
5,상상도못한 시승 대박입니다 국내용  나오겠죠 이정도 인기면..,3
6,이런차를 만들어낸다는거 자체가 참 부럽네요...,38
7,한국에서 시판되는 날 바로 사러갑니다.정말 사고 싶은 멋진 차네요...!!!,6
8,재미있게 잘 봤습니다. 고맙습니다~!,1
9,카이맨과 비슷한 밸런스에서 지렸습니다. 이거 튜닝 잘만하면 재미 오지겠네요.,4
10,정말 재밌는 차로 시승하신 것 같습니다. 오랜만에 저도 운전의 재미를 추구하는 시승기를 본 것 같습니다. 아 그리고 혹시 물어 볼 것이 있는데요...?,2
11,운전하는 재미로 타는 차 진짜 일본이 부럽다,1
12,일본 경차 부럽다...,39
13,오토뷰 사이트 보다 더 고화질로 나오는군요.승차감과 소음 문제이야한 리뷰는 여기서만 볼수 있군요. 수출형 빨리 나오면 합니다.,2
14,와 진짜 갖고 싶다,1
15,자동차 문화 하나만큼은 일본이 정말 부럽네요...정식수입이 된다면 고민없이 지를것 같습니다.,1
16,원래 가벼운차가 민첩성이 좋음,1
17,와목소리 엄청 좋으시내요 ^^ 차는 베타인가보내요.. 휠이... ㅋㅋ  파브 제공했나보내요 ㅎㅎ 알파모델이였다면 훨씬더 멋있었을텐데...,2
18,저는 개인적으로 마쯔다 MX-5 가 더 기대가 됨니다.. 지붕 덮는 방식이 마쯔다 MX-5 처럼 만 되었어도 .. 괜찬았지 안았을까 라는 생각이 드내요 ~,4
19,알파모델은 가죽 디컷 핸들이고 시프트 노브도 가죽 .. 그리고.. 휠도 바뀌고...   달릴때 리어스포일러 나오는사진이 없어서 아쉽내요 ㅎㅎ,1
20,퍼스트 데일리카로는 무리일지 몰라도 세컨카를 고려하는 사람이라면 살만하겠네요ㅋㅋ마쯔다 로드스터는 S660과 비교했을 때 어떤지 아시나요?,1
21,모닝보다더 작던데~ 하지만 저런차를 만들어내는 일본이 그저 부러울뿐이네요.,2
22,박으면 많이 위험하겠네요....,1
23,오토뷰 사이트의 플레이어 사용성이 불편하여 다른 언론의 영상을 자주 보았는데 오토뷰도 유튜브 채널이 있었네요. 오랜만에 오토뷰 리뷰를 봤더니 역시 자동차 리뷰는 오토뷰를 따라올 곳이 없네요ㅎㅎ,1
24,그나저나 기자님 목소리 장난아니시네요 성우이신줄;,34
25,일본법규때문에 최고속도 리미트 130~140 걸려있는거고 리미트 제거킷 판매됨 ㅇㅇ 180km/h가능,47
26,일본에서 잠깐 타봤는데 달리면서 내내 웃었네요,8
27,80년대 트윈터보 경차가 있었지만 마력제한이 생기며...64마력,14
28,꺄옷 진짜 서민들도 중고로 도전 할 수 있는 스포츠?스포티?카인듯,1
29,이런  차.. 함 타고 싶네,1
30,그냥 크기만 키우고  1000cc 경차급으로 나오면 우리나라 경차시장 먹을듯. 크기가 커진만큼 약간 물건 싣게 공간이 생길테니,2
31,as는  혼다에서  해주나요?  그리고  휘발류는  고급유  넣어줘야 하나요?,1
32,하체 엄청 탄탄해보이네 재밌겠다,2
33,우리나라는 왜 이런거 못만들까ㅜㅜ,2
34,연비가 쩌네 ㅋㅋㅋ,1
35,혼다는 9 천알피엠까지 올리는 맛이지,1
36,현재 125마력 토크업 속도리미트 해제 까지 출시되었는데.. (가격은  ㅎ ㄷ ㄷ ㅎㅎㅎ ),11
37,S660.....비록 일본차이지만.....좌핸들로 나오면 무조건 살듯...ㅋㅋ,1
38,아..이런 와인딩 놀기좋은 일본 K카들이 정발된다면 그건... Σ（ﾟдﾟlll,3
39,이놈이나 스즈키 알토 터보같은 녀석들.. 정식 수입되면 좋겠네요,2
40,경차라도 견고하고 알차 보이네. 뭔가 제대로 만들었다는 게 느껴져.,3
41,목소리 무엇... 녹네 녹아...,1
42,부산 북항대교서 광안리 넘어가는 거 봤는데 귀엽더군요~,7
43,진짜 이거 너무 갖고싶다 혼다일것 작은차일것 거기에 쿠페인것 까지 너무 맘에듬,1
44,실물 너무작아서 suv랑 박으면 밑으로 들어갈꺼같던데...ㄷㄷ,2
