,comments,likes
0,딜러전산 연동 홈페이지www.중고차크루.com24시간 상담가능문의:1800-6017010-8714-6300카카오톡 오픈채팅: https://open.kakao.com/o/s9ugBwMb네이버카페: https://cafe.naver.com/eillnd페이스북  : https://www.facebook.com/CARCREW.NET/,1
1,중고차크루 화이팅!! ^^,2
2,전국에 몇대 없으면 유지관리하는데 애먹을듯ᆢ부품수급이나 각종 소모품 경정비 할려면 스트레스 이빠이 받을듯ᆢ,4
3,엔카보다 비싸네요,1
4,오잉 첨보는 혼다넹,1
5,모든뉴타운에서 집을뺐겨버린원주민들에게 입주권이라도 찾아주어야 진짜민주주의정부 한다는것 입니다 저는 정말 정말 정말 정말 정말 정말,1
6,판매되었나요ㆍ,1
7,전쟁도안했는데 집을뺐기고 노숙자신세가되는세상 광명뉴타운에는 국가유가족에게 입주권도안주고 강제로내쫒아버리는것은 국민차별 노숙자양성 양극화시대 보이지않는 전쟁이다 라는 말이 왜 집을뺐겨버리고 노숙자신세가되는지 모르겠다 내가 진짜 너무 화가나서 진짜 너무 화가나서 진짜 너무 화가나서,1
8,어코드와 부품공유가 많아서 정비는 용이하지만 외장부품은 정말구하기 힘들듯,2
9,차 있나요?,1
10,제가 문의했더니 판매가 되었다고 했는데 판매가 된 차량은 판매완료라고올려줘야 된다고 생각합니다.,1
11,팔렸나요??,1
12,영상 너무너무 잘보고 있습니다. ♡덕분에 지루한 일상속에서도 매일 행복하게 살아갑니다. 많이 감사드리고 있어요. ^^,1
13,처음 보는 차네요!!저도 전혀 몰라요!!신기하게 생겼네요혼다.일본차 잔고장은 없을듯,1
14,크로스도어 와우 첨보네요멋있다 남성미 뿜뿜,2
15,👍,1
16,양다리 걸치다 망합니다.,3
17,🚣‍♂️혼다 ㅋ 크로스 suv 라 어떤차일까 난 crv가 좋터라 ㅎ,2
18,대표님 혼다시빅해주세요 !,2
19,1빠!!!!!!!!,1
20,이차 갖고 싶다. ㅠ,1
