,comments,likes
0,출시됐을때 일률적으로 하는 리뷰가 아닌 자세하고 세심한 설명이 좋네요 ~ 특징이 뚜렸한 차네요  공간과 주행성은 꽤 좋은점이군요,11
1,영상 잘봤습니다.황의광소장님의 올뉴렉스턴과 비교하면 소음 진동 승차감은 어떤 차가 더 좋은지 궁금합니다.,6
2,과거와 현재와 미래가 공존하는 차,5
3,"늘 차분하고 섬세한 소개영상 감사합니다 기어버튼 주변 ""효도폰""  전산거리계 "" 꼬챙이"" 표현 뿜을뻔 했습니다 ^^    건강하세요 ^^",4
4,후방 깜빡이 큼직한게 마음에 드네요.이전 스포티지 같은 모델은 뭔 생각으로 방향지시등을 그렇게 아래에 박아놨는지 참...,22
5,일본차 하체안정감은 한국차들은 절대이길수없지한국차 내부디자인보다 난 안정감을 선택할겁니다타면탈수록 신기하구 재밌죠 단 속도를 즐기는사람들은 예외ㅋ기술의혼다!혼다센싱,5
6,4850 까지 주고 살정도는..현기 현재 하브 ecu업데이트 하고 봐야 알 듯혼다 1.5터보 하브도 엔진오일 증가했었는데 ecu업데이트 하고 나아진 걸로 알아요,2
7,외관  실내 디자인 현기 압승 하이브리드 기술 내구성 혼다 토요타 렉서스 압승,9
8,와… 인테리어가 쉐보레에도 밀리는듯 하네요.,24
9,차량 소개할때 풀체인지가 아닌 2017년 5세대 페리버전이라 소개를 해주시는게 좋을거같네요,14
10,잘봤습니다. 리뷰 감사합니다!,3
11,와 가격은 상당하네요 4850라니 ㄷㄷ,1
12,쏘렌토 하브가 가격대비 괜찮다고 생각하다가 엔진오일증가 이슈때문에국산차 는 역시...그리고 참고로 제발 국산차 브레이크좀신경써 줬으면 좋겠네요2~3백 더 줄 용의가 있으니 브레이크좀..,6
13,좋은 영상 항상 감사합니다,5
14,"CRV, 어코드, 파일럿 모두 시승해봤는데, CRV, 어코드는 아무 느낌이 없고, 파일럿은 꽤 괜찮은 느낌이였습니다.",3
15,소름돋는게 예전 08년식 시빅에서 봤던 똑같은 상단조명등이 22년식에도 달려있네요.....,21
16,"디자인,옾션 안따지고 엔진,미션 이슈 없이10년이상 타실려면 가성비로는 일본차",10
17,부럽다 일본의  하이브리드 능력,1
18,"저번달만 해도 국산 하브가 갑이라고 생각했는데.... 쏘렌토, 투싼, k8 하브 엔진오일 증가하는거 보고 마음 돌렸다....국산차 기술력은 아직 일본차 못따라감.",18
19,폰트 큰건 좋은 장정이라고 생각함,3
20,고속에서 노면소음이 쏘렌토 비교시 어느정도 일까요?,1
21,엔진오일 증가 이슈만으로도 현기차 살 이유가 없음.디자인을 중시하면 현기차지만 차의 기본 성능 자체는 도요타 혼다와 비교불가 넘사벽임,12
22,네비 진짜 실화인가? 2022년에...,11
23,"현실적으로 4,850만원을 주고 이 차를 사긴 쉽지 않을 것 같아요",24
24,국산차가 많이 좋아지긴 했군요.. crv도 충분히 좋은차인데.. 허허,9
25,연말이나 내년에 풀체인지 나오는데 지금 살필요는 없다고 생각해요.,7
26,잘보겠습니다 감사합니다,3
27,"차는 좋은데, 디자인에 좀 더 신경을 썼으면 괜찮았을텐데... 요즘에는 미국 차들도 디자인 신경 많이 써서 나오던데, 일본애들은 너무 안일한 듯...",4
28,섬나라에서 닌자나오고 미래와 구석기를 같이 사는 이유가 여기에 다 나와..,2
29,근데 트렁크가 기본940이 맞나요 ㄷㄷㄷ,1
30,감사히 잘보겠습니다.,3
31,티구안과 비교시 코너 안정감은 어떤가요?,1
32,ㅋㅋㅋㅋㅋㅋ스포티지하이브리드랑ㅋㅋㅋㅋ비교하다니!!기술의혼다다!!!!,4
33,감사합니다. 잘보겠습니다,1
34,일본이 고령화 되다보니 차도 신구가 공존하게 만드는 것 같습니다^^,5
35,"잘봤습니다.. 이급에서는 투싼, 스포티지와 비교시 상품성은 떨어지는 것 같네요.가격은 쏘렌토 하리브리드 급이네요. 혼다도 좋은차를 많이 만들었는데.. 가격경쟁력도 상품성도 밀리는 인상입니다.",8
36,"평생 엔진오일 무료 교환, 할인, 신속 출고 등 감안하면 메리트 있지요",15
37,뒷깜빡이 엄청크고 위에 달려서 멀리서 겁나잘보이겄어요 led에다가.,4
38,실내주행하고 풀가속 할때 연비 얼마정도 나오나요? 고속주행하기 답답하다는 사람도 있던데 한상기선생님 느끼기에는 어떤지요?,3
39,"4:50후방카메라 화질이 상당히 안 좋네요,. 저거 야간이면 거의 안보일듯...사이드 미러 각도 진짜 안 좋아보이네요 짧고 작다니",8
40,잘보겠습니다!,3
41,캠리하브는 회생제동 조절을 브레이크 밟는 정도에 따라 조절되는데...,2
42,하도 CRV CRV 하길래 시승 해봤는데... 정말 아니올시다입니다.... 방음이 매우 아쉽습니다.. 창문 열린줄..,5
43,킹상기니뮤ㅠ,5
44,산기형 시에나 하브 리뷰좀 부탁해요~^^,1
45,와 이제 일본차 리뷰는 볼때마다 국산차 수준이 많이 올라왔다는게 느껴지네요ㅎㅎ 잘봤습니다~,10
46,4800만원이나 주고 이 차를 살 사람이 있으려나... 잘 보고 갑니다^^,8
47,2022년기준 내외부 디자인은 촌스럽네요 그래도 혼다 하이브리드는 좋은것 같아요,5
48,연비가 그다지 좋은건지 14킬로면 하이브리드차액으로계산하면 그다지이익이 아닌듯 싶네요,1
49,"네비가 어째... 2022년 최신차량인데 전반적인 느낌이 옛날 모젠이 떠오르네요;; 투싼,스포티지 하이브리드말고 얘를 선택해야할 이유가 거의 안보이네요.",11
50,3세대 cr-v를 살까 말까 엄청 고민했었던 예전 추억이 떠오릅니다. 하지만 그 이후로는 사고 싶은 마음이 안 들더라구요. 렉서스 빼고 일본차에 대한 감흥은 이제 거의 없어진 듯 합니다. 내연기관의 발전이 끝에 다달았기 때문일까요? 기술의 혼다라는 말도 상대적 우위가 별로 없어서 옛말이 된 거 같아요.오늘도 시승기 잘 봤습니다. 감사합니다!,7
51,혼다 crv의 내구성은 극강 입니다. 제 자동차 중 한대가 2003년형이 있는데 너무 부드럽고 좋습니다...고장도 아직까지 거의 없습니다. 아주 극강 입니다.,9
52,쉐보레보다 더 구린 실내는 정말 오랜만에 본다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,4
53,라브4나 cr-v가 미국 suv 선두를 달린다는게 이해가 안되네요미국인들은 한번 산 제품을 다음에도 잘 안바꾸는 습성이 있다고 하더군요서민들 차라서 중고 방어에도 민감하고올해 투싼 스포티지가 많이 잠식할듯,11
54,일본차도 한물갔네요  외관이나 실내 디자인이 현기차보다 한세대 뒤진 느낌이 나는듯 합니다,22
55,가격이 쏘렌토급이라 쏘렌토 하이브리드로 가는게 답,8
56,투싼 스포 하브보다 나은게없어보이네요..,34
57,참 인테리어가 10년대하고 20년대하고 반반 섞인거같네요 뭔가 신형기술은 넣었는데 구닥다리 기술도 같이있고 ;;후방카메라 화질은 진짜 심하네요 가격대 생각하더라도..,3
58,기자님 gv60 vs egv70 신혼부부가 타기에 어느게 더 적합할까요?출퇴근 40km입니다.,1
59,돈만있었으면 이거 샀지.. qm6로 만족중 ㅎㅎ,3
60,몇 년 전만 해도 인기가 꽤나 많았던 모델이이제는 국산 하브SUV에 비해 메리트가 있어보이진 않는다니...!!국산차 발전이 많이 된 것 같아 자랑스럽습니다ㅎㅎ,22
61,근데 저래보여도 일본차 카페 가보면 니뽄 하이브리드는 세계제일 !!! 외치는 사람들이 많아서. 두개의 모터라서 현기 하이브리드보다는 빨리 전기가 차고 ...어코드 탈때는 꾸준히 연비 17정도는 나왔는데 ... CR-V가 평균 13 정도라니..역시 SUV라서 연비가 떨어지네요. 차는 빨리 받을수 있습니다. 계약하고 일주일정도..,5
62,가격이야 외제차니까 그렇다 치지만 실내 인테리어나 디스플레이 크기가 너무 충격적이다,14
63,"과거 국산차량 과 일본차량은 항상 기본기가 비교되었는데 이제는 기본기가 좋다는 소리 듣기 힘들며,  잔고장과 내구성(수리편의성) 얘기또한 과거 일본차량들에 국한된 소리이지 현재는 미국의 JD파워만 보더라도 높지 않음    이제는 가성비 옵션 인터리어 익스페리어 모두 동등 또는 그 이상이 많아 더이상 일본차가 좋다는 소리 듣기가 힘듬국내에서 현재 일본차량의 이미지는 독일차는 금액적으로 부담되는 사람들이 외제차는 타고싶어 구입하는 이미지?근데 그것또한 시국이 시국인지라 지금 구입하여 3자리 번호판은 좋은이미지가 받기 힘들기때문에우리나라에서 더이상 일본차는 매력적이지못함",6
64,7:41 센터콘솔 아닌가요? 센터페시아는 네비 공조장치 있는 영역을 지칭하는 걸로 압니다,1
65,이젠 국산차가 그 무시섞인 국산차가 아닌지라돈을더주고 같은급의 차량을 외제라고 사줄 이유가 아예 없어졌네요. 4850은 차급에 비해 너무 비쌉니다. 4850이면 쏘렌토가 더 좋은 선택이죠.,14
66,C-RV hybrid 네요  라브4 라이벌 입니다 국내 차량 싼타페 쏘렌토 하이브리드 입니다 잘봤어요 🚘🚗🚙👍👍👍👍👍,2
67,20년전 내부디자인!!일본차가 왜 망하고 있는지 적나라하게 보여주는 차!!,3
68,차는 드럽게투박하고 90년대 갬성이 넘쳐나지만 쓰래기같은 현기보다는 백만배 좋은 하브SUV 승차감이든 혼다의 기술력으로 품질이든,9
69,혼다 어코드  하브  차주입니다  차좃습니다 감사합니다,3
70,형님 제발 렉서스 es300h 좀해주십시오ㅠ,2
71,꽤 비싸네요.......요즘 차값이 다 올라서 그런가 원....,2
72,실내 인테리어 나무무늬에 카본스티커 마렵다ㅠㅠ,1
73,아유 풀체인지라니...,2
74,차 좋은건 압니다만 디자인은 진짜 노답이네요,1
75,마치 90년대 차량 같네요.....,3
76,한상기님 아반떼 수동 단종된다고하는데 하나지르시죠? ㅎㅎ,1
77,폰트 충격이네요 옛날 컴퓨터 보는줄...,6
